0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.12,0.14,-0.06,-0.24,-0.16,-0.04,-0.2,-0.04,0.12,0.0,0.12,-0.04,0.0,-0.02,-0.06,0.14,-0.08,-0.02,0.02,0.08,-0.06,0.14,0.14,0.2,-0.06,0.12,-0.14,3.2239064964882957,5.52710009089251,5.70880923891316,5.061657098521738,5.585122070074038
1.0,1.0,1.0,0.06,0.16,-0.1,-0.22,-0.02,0.12,-0.08,-0.08,0.08,-0.08,-0.04,0.08,-0.06,-0.16,-0.14,0.12,0.0,0.0,0.14,0.08,-0.02,0.16,-0.08,0.08,-0.04,0.06,-0.1,3.9746186334139235,4.66259745997181,6.090681042849148,4.420866565277975,3.7657145265461596
1.0,1.0,1.0,0.14,0.0,-0.1,-0.06,-0.22,0.0,-0.1,-0.14,0.08,0.1,-0.22,0.04,0.08,-0.12,0.08,0.08,-0.06,0.06,-0.14,0.06,-0.12,-0.14,0.18,-0.08,0.02,0.04,-0.14,4.859731562839407,5.794384192080655,5.692607101941634,5.990244519018192,3.222886692009599
1.0,1.0,1.0,0.1,-0.18,-0.24,0.1,-0.12,-0.14,0.02,-0.08,0.02,0.1,0.14,0.12,0.06,-0.12,-0.06,0.14,0.0,0.06,0.02,-0.16,-0.22,0.1,-0.18,-0.12,-0.04,0.12,-0.08,5.708829861200876,4.825789992301091,2.695385413094023,6.155212935725151,6.367812931636947
1.0,1.0,1.0,0.02,0.0,-0.02,0.14,-0.08,0.02,0.02,-0.06,-0.16,-0.06,0.28,-0.02,0.18,0.02,0.16,0.04,0.0,0.08,-0.1,0.08,-0.06,0.12,0.02,0.06,-0.18,-0.08,0.18,5.296357661607335,5.9063313835386335,5.215135877131459,4.135292797766888,5.3838250670970655
1.0,1.0,1.0,0.16,0.22,-0.06,0.06,-0.16,0.02,-0.1,0.04,0.02,0.0,0.02,0.1,0.14,0.12,0.1,0.1,-0.06,0.04,-0.02,-0.14,-0.12,0.02,-0.02,0.08,0.02,0.04,0.14,4.262237426675037,3.8865642082514866,4.739081240095314,6.442768817384038,5.503942909516167
1.0,1.0,1.0,-0.02,0.14,0.12,-0.1,-0.04,-0.06,-0.04,0.12,0.08,0.14,0.14,0.12,0.16,0.2,0.0,-0.2,0.12,0.0,-0.02,-0.06,-0.08,0.12,0.1,0.18,-0.02,-0.04,0.06,6.240025019912273,5.414093708606875,5.918836100318938,5.912569754741232,4.134425263768108
1.0,1.0,1.0,0.3,-0.04,0.06,0.02,0.0,0.1,0.04,-0.06,-0.06,0.12,-0.1,0.02,-0.08,0.1,0.14,0.0,0.0,-0.04,0.02,0.04,-0.1,0.04,0.08,0.08,0.18,0.1,-0.04,4.9744429387152085,6.618990677250707,3.22751039996814,6.176504754279952,6.450524849356669
1.0,1.0,1.0,0.02,0.04,-0.18,-0.18,0.0,-0.02,0.0,0.1,0.02,-0.02,-0.14,-0.08,0.12,-0.1,0.1,0.02,-0.06,0.0,-0.06,0.1,-0.12,0.04,0.06,0.02,0.06,-0.06,0.0,4.368770045284111,6.225503173611954,5.721528206909859,4.371198116931983,4.248864685917375
1.0,1.0,1.0,-0.02,0.22,0.04,-0.02,-0.14,0.0,0.02,-0.02,0.08,-0.02,-0.1,0.12,-0.1,0.12,-0.02,0.32,0.02,0.18,0.06,-0.18,-0.04,-0.18,0.16,-0.06,0.1,-0.02,-0.16,4.695150538264827,4.769202262921048,6.86742961003247,3.665283580771543,4.883914619597862
1.0,1.0,1.0,0.1,-0.08,-0.22,0.04,-0.06,-0.02,0.08,-0.1,0.02,0.0,-0.02,0.02,-0.16,-0.04,0.04,0.1,0.02,0.04,-0.14,0.06,0.0,0.26,-0.2,-0.1,0.18,0.0,-0.02,7.756644209627171,5.73441571899658,5.004588254411258,5.1457677045492325,6.163857408643482
1.0,1.0,1.0,-0.06,0.24,-0.1,-0.2,-0.22,0.14,0.06,-0.06,0.08,-0.16,0.02,0.06,-0.02,0.06,0.2,0.0,0.14,-0.1,0.04,-0.1,0.02,-0.14,0.0,0.02,-0.06,0.06,0.12,4.830807498832922,4.352607173402906,4.924850446378808,5.26133463402427,4.44177348155186
1.0,1.0,1.0,0.08,0.1,0.14,-0.18,-0.22,0.08,-0.02,0.24,-0.02,0.14,0.12,0.06,-0.12,-0.12,0.04,0.04,0.02,-0.02,0.08,-0.1,0.1,0.08,-0.02,0.14,-0.02,0.02,0.12,4.343577984850649,6.235585847669411,4.892505433577471,5.3057177172586405,4.191346675854151
1.0,1.0,1.0,0.28,-0.02,-0.18,-0.16,0.08,-0.2,0.06,-0.1,0.0,0.04,-0.04,-0.08,-0.12,-0.06,-0.06,0.06,-0.04,-0.1,-0.04,-0.04,0.0,0.0,-0.14,-0.1,-0.16,0.0,0.0,6.232265666616003,6.3032562563319114,3.5955020261552804,4.2825918824609035,5.962674295449672
1.0,1.0,1.0,0.24,0.28,0.16,-0.1,-0.04,-0.1,0.02,-0.04,0.02,0.1,-0.06,0.0,0.04,0.04,-0.04,0.02,-0.14,-0.08,-0.06,-0.04,-0.1,-0.06,-0.04,-0.18,-0.12,0.08,0.08,4.779498224641253,5.5012099564009835,5.59317919607855,3.459805764468727,5.0915487674488284
1.0,1.0,1.0,0.34,0.44,0.22,0.06,-0.26,0.08,0.12,-0.12,-0.04,0.02,0.0,0.1,-0.02,-0.08,0.1,-0.02,0.22,0.12,-0.04,0.04,-0.08,0.2,-0.04,-0.08,-0.06,-0.1,0.04,5.1088054884479766,3.582700349345341,3.5000561966613546,4.637347833084584,3.6433234520717104
1.0,1.0,1.0,0.3,0.14,-0.12,-0.12,-0.18,-0.02,-0.08,0.0,-0.04,-0.14,0.06,0.08,0.04,-0.04,0.04,-0.14,-0.2,0.26,-0.14,-0.06,0.04,0.0,-0.02,-0.02,-0.16,0.14,-0.02,4.377665998222147,7.143630804653615,4.9841119788851636,4.627807298550185,2.778857562062237
1.0,1.0,1.0,0.12,-0.06,0.1,0.02,0.06,0.0,0.06,0.18,0.16,0.14,-0.14,-0.12,0.28,-0.06,-0.06,0.06,0.14,0.08,0.12,-0.08,-0.16,-0.1,0.04,0.06,0.0,-0.02,-0.18,6.712597957494562,4.5169303461377375,3.4641326113232536,5.588298770019139,5.805813329334843
1.0,1.0,1.0,0.16,0.12,-0.04,-0.02,-0.14,0.08,0.02,-0.1,-0.04,0.04,-0.06,-0.22,-0.08,0.06,0.18,-0.02,0.02,0.12,0.18,0.02,-0.08,0.1,-0.12,0.22,0.12,0.04,0.04,4.134848544928863,3.075777281376114,4.514054196301194,6.051933947850338,6.180546066001066
1.0,1.0,1.0,-0.1,0.06,0.04,-0.2,-0.2,0.04,-0.1,-0.08,-0.06,0.06,0.12,-0.06,0.04,0.06,0.1,0.18,0.0,0.1,0.02,-0.04,0.06,0.1,-0.1,0.08,0.1,-0.06,-0.08,3.7462187910116205,2.9415190685937977,6.996677246013362,5.884858242489559,5.50360176769124
1.0,1.0,1.0,0.3,-0.22,0.0,0.02,-0.1,0.0,-0.16,0.02,-0.02,-0.12,0.0,-0.08,0.02,0.06,-0.04,-0.02,0.08,0.14,-0.1,0.04,0.02,-0.16,0.02,0.06,0.12,-0.2,0.16,6.136996002369978,4.193455899787425,3.865704035292638,7.537885580840454,5.337059937552138
1.0,1.0,1.0,-0.02,0.18,0.2,-0.18,-0.2,0.14,-0.06,-0.1,-0.12,0.06,-0.02,0.08,0.06,0.02,0.08,-0.02,-0.16,0.18,0.06,-0.04,-0.1,-0.1,0.0,-0.22,0.0,-0.08,-0.12,6.062734223985665,4.55102325516994,4.789705736441109,5.688089970190939,5.182457859281841
