0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.488,0.444,0.22,0.044,-0.172,-0.048,4.6113514639086475,9.243103409956099,9.783547097943602,4.5815748157049905,0.0
0.48,0.896,0.416,-0.016,0.332,0.02,0.9412580353324138,5.82463546828637,3.2681300345456443,4.769114522455364,0.0
0.916,0.644,0.584,0.236,-0.316,-0.056,2.0917011965928727,0.2357057439247292,6.915571913701819,3.6103248132953656,0.0
0.852,0.68,0.54,0.348,-0.132,-0.04,3.6392889285000276,1.1026458056136637,5.038574312402103,3.1344583156870103,0.0
0.676,0.64,0.412,0.128,0.16,0.008,3.5759929801328054,5.10348795472195,2.667962301759086,1.928264387744413,0.0
0.656,0.396,0.268,-0.196,-0.244,0.088,3.8883366328722078,3.202534770536304,10.110663696692574,5.670781535259642,0.0
0.508,0.656,0.356,0.028,-0.008,-0.044,3.6144275250598064,6.186071052824492,4.20352576327339,5.63857545072569,0.0
0.452,0.492,0.184,0.088,-0.02,-0.06,6.170239101790193,7.778067980676617,5.238947125559366,2.471571621965991,0.0
0.508,0.656,0.356,0.0,-0.06,-0.044,3.6629675064045486,5.122193122499528,4.809540429263977,5.973721498213136,0.0
0.416,0.656,0.32,-0.116,-0.112,0.028,3.6032441462479574,6.241661529910466,5.8467820747148656,5.789466238165077,0.0
0.62,0.768,0.508,0.072,0.36,0.0,2.932218136125942,3.974770036027359,-0.20481500816598963,3.6988743571308254,0.0
0.512,0.512,0.264,0.004,-0.084,-0.024,5.555398233199577,6.813010220121667,5.588818616905849,2.598254270169813,0.0
0.524,0.38,0.216,-0.008,-0.072,-0.088,6.71138233175551,5.960973544344953,7.34614836836661,3.685593493112786,0.0
0.364,0.608,0.22,-0.052,-0.056,0.02,4.183961600307535,8.319847716280798,4.702511938155594,3.258079169305368,0.0
0.384,0.468,0.156,-0.02,-0.06,-0.032,5.517108264947362,7.675492759712867,7.1115425065805,4.8214018707544195,0.0
0.492,0.616,0.324,0.076,0.048,-0.012,3.8473093198126227,5.932219459366755,4.272736171210015,3.5721899430567348,0.0
0.66,0.388,0.216,-0.228,0.004,0.016,4.269988870977077,3.577762903558824,11.016456283801126,6.159391918141348,0.0
0.392,0.62,0.284,-0.104,-0.028,-0.044,4.725495285945368,5.5686200515153566,5.237011854163883,8.427236192198217,0.0
0.656,0.476,0.332,0.044,0.052,0.008,8.63998325499746,3.5974349151318012,1.6588252193127717,4.474802977090937,0.0
0.492,0.592,0.3,-0.056,0.068,-0.092,4.244007846991365,5.54466354884529,3.3634539015388074,6.549488556751129,0.0
0.532,0.724,0.368,-0.016,-0.016,0.048,4.172217927066389,7.165383908734171,4.592893147587173,5.340130273420872,0.0
