0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.636,0.416,0.332,0.088,-0.152,-0.096,5.981389158681276,4.67586594580837,5.954557296429277,2.9858363557921446,0.0
0.56,0.624,0.336,0.072,-0.008,-0.04,4.754142732558367,6.92951894088092,2.985642279736834,2.0733510299875437,0.0
0.596,0.616,0.388,0.004,0.088,0.028,3.829621363575424,4.934948432272082,3.968368987779164,5.48922633240423,0.0
0.512,0.648,0.328,0.072,0.18,-0.036,3.4665812972578802,5.567304987239101,2.515928055699803,3.64298166073713,0.0
0.696,0.448,0.272,-0.588,0.072,0.028,6.412498741985151,1.1935955515311383,5.499224249369445,7.833677292705888,0.0
0.856,0.532,0.46,0.3,0.104,-0.012,6.5236411909492285,1.374352186983796,1.9001741058542945,3.0796731076507546,0.0
0.484,0.7,0.368,-0.14,0.036,-0.088,4.028543519655639,5.374798582292889,4.244970820645303,6.859518487715907,0.0
0.508,0.78,0.4,0.012,0.324,0.056,2.756752322909986,6.0239114877396345,0.6415760710517304,4.140543454105639,0.0
0.444,0.364,0.12,-0.12,0.064,0.008,8.183695795200862,6.268488548357396,4.716497417428921,7.499032670825552,0.0
0.564,0.552,0.34,0.116,0.072,-0.004,5.262436720755178,5.217545763172085,3.6451954735155065,2.871109961400531,0.0
0.74,0.54,0.384,-0.176,-0.212,0.036,4.522957246147855,2.2854884027783564,7.387122766481026,5.683899907937164,0.0
0.648,0.46,0.316,-0.256,-0.036,-0.028,7.210591679064054,2.6085502776107288,5.862508978579168,6.490358077370865,0.0
0.504,0.616,0.272,0.14,-0.476,-0.048,1.792427498787033,7.1827603922512,7.7171923825126445,4.324416442807228,0.0
0.5,0.556,0.256,0.004,0.012,-0.04,5.474376564219534,5.906941514426007,4.617120033649143,6.6392681116808,0.0
0.464,0.584,0.264,-0.016,0.06,0.004,4.880665465147599,7.187668791919859,4.461998697123392,6.883558685001075,0.0
0.7,0.556,0.408,0.004,-0.18,0.0,4.21037005362743,3.213051950951791,7.153963233802465,4.013493075832673,0.0
0.436,0.592,0.228,-0.02,-0.012,-0.008,4.6033339795270845,6.2539818871040005,5.531510662472121,5.585743672989006,0.0
0.628,0.656,0.444,0.044,0.164,-0.024,4.079819047446331,5.680441733378698,1.9624541293486986,3.145046641092475,0.0
0.344,0.604,0.236,-0.036,-0.032,-0.084,3.8667652915726887,7.398914372867393,5.192052865030416,6.554768562569394,0.0
0.364,0.836,0.32,-0.164,-0.068,-0.072,0.775891771476692,7.3636017887568155,4.655924602156197,8.101173641630496,0.0
0.56,0.524,0.276,-0.208,-0.076,0.004,4.762520341246571,3.241307118982205,5.3209079024337695,5.907431285643823,0.0
0.704,0.464,0.304,0.156,-0.072,-0.02,6.588338757819783,2.8959510840320033,6.466431447573827,3.486547989246783,0.0
0.444,0.464,0.228,-0.184,-0.104,0.056,4.515012080623245,6.5724251140534475,8.083301690008177,6.858550989914376,0.0
0.772,0.652,0.536,0.124,0.188,0.12,3.7685531565299573,2.8414061497002723,3.042826978783082,3.753795504440384,0.0
0.536,0.464,0.256,0.056,-0.036,0.052,6.732302305430685,7.26575401125615,4.71715435446291,3.3432104872988733,0.0
0.536,0.408,0.232,0.036,-0.112,-0.084,6.247174441776993,6.275529081085935,6.6980851848383125,3.860650426275776,0.0
0.492,0.412,0.192,-0.112,-0.052,-0.06,6.038501211760466,4.9664173235730384,8.35759387985664,5.080425121881835,0.0
0.484,0.52,0.244,-0.052,-0.012,-0.032,7.801828441928272,7.301833513692383,4.565039536202675,6.296978678340933,0.0
0.48,0.604,0.244,0.004,-0.016,0.02,4.610116784650396,7.938862325956945,5.445547867325035,2.7456244461244355,0.0
0.484,0.5,0.264,-0.168,-0.344,0.064,2.801861021792315,4.473888000805582,9.000652151275137,7.734496909664487,0.0
0.596,0.812,0.464,-0.124,-0.008,-0.012,1.3038434093043225,4.426191209094667,4.864443888504716,5.918774109041731,0.0
0.432,0.372,0.204,-0.04,0.024,-0.08,9.934614396900011,7.500121788940884,4.111533429994045,5.462036936328536,0.0
0.48,0.512,0.208,-0.144,-0.18,0.044,4.273206883891968,5.701446762123148,6.668350613706053,7.514753156161406,0.0
0.552,0.404,0.284,0.068,-0.164,-0.048,5.1956712716832305,6.6427366210915775,8.053728983171832,2.658540553757287,0.0
0.756,0.676,0.48,0.388,0.1,-0.024,3.7898675617943223,3.0498717233044044,2.1850755028961135,0.6039504363822257,0.0
0.588,0.668,0.36,-0.068,0.156,0.024,4.8381736865442715,4.427436303353306,1.7674306873452177,5.0198290622987205,0.0
0.56,0.708,0.38,-0.1,-0.092,-0.032,2.9340124635693114,5.600111612808725,5.151239954536091,5.372419750919758,0.0
0.628,0.42,0.248,-0.056,-0.2,0.024,4.786627603891133,4.488017061305723,8.808375459242896,4.707637405577999,0.0
0.644,0.572,0.384,-0.008,0.06,-0.028,5.312801286002224,4.011121150292203,2.0836545772734505,3.2130124884842806,0.0
0.696,0.6,0.448,-0.004,0.016,-0.02,5.310241856723361,2.9911527531909146,3.9501512933443506,4.230036581197053,0.0
