0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.676,0.572,0.344,0.104,0.016,-0.056,5.332964994496072,5.027308281747132,3.669969698973955,2.3736223227076376,0.0
0.564,0.796,0.448,0.044,0.128,0.052,2.599759617789383,5.882860786125805,3.5006815500187844,1.719762746092691,0.0
0.528,0.436,0.26,0.052,-0.024,0.036,6.018278893342864,6.358659164555295,5.459384066687429,1.6834861771979148,0.0
0.392,0.728,0.288,-0.148,-0.124,0.008,2.4965768751465722,7.253938524213169,4.762843135870871,6.908774632066862,0.0
0.64,0.552,0.36,0.004,-0.032,-0.052,5.726438000612203,4.038517733039382,3.279697089220364,4.319880671282526,0.0
0.576,0.668,0.388,0.004,0.004,0.008,4.0118994035676,4.533169956275341,3.908520141276238,5.1298026803985435,0.0
0.692,0.656,0.468,0.056,0.048,0.016,4.44556537463561,3.6144515210664894,3.8836309866837073,3.9795028270272357,0.0
0.548,0.604,0.28,0.224,-0.292,-0.012,3.045737001477693,5.417380294288053,6.83458994724435,2.861959210817389,0.0
0.46,0.536,0.372,-0.284,-0.216,-0.004,3.8942132955156827,3.0810745238387547,7.179609407934596,8.056214361305045,0.0
0.48,0.536,0.24,-0.108,-0.044,0.016,5.9690473397938,4.94419931129622,4.922217117047246,6.538675798011942,0.0
0.676,0.52,0.34,0.168,0.004,-0.068,5.734272019596673,4.4242744600088315,3.9136312855787647,2.1029894110609137,0.0
0.58,0.776,0.42,0.104,-0.136,-0.016,1.3734766611003808,5.925359360000747,5.5019146873951295,1.4133213550216275,0.0
0.556,0.664,0.34,0.116,0.1,-0.016,3.911721243004684,6.691070200184139,3.5934243994761266,2.384057970160776,0.0
0.488,0.464,0.256,-0.108,-0.052,-0.024,6.569257767282064,5.370009586560725,5.618291262541614,6.938036715842085,0.0
0.412,0.516,0.168,-0.248,-0.128,0.008,4.25718703176984,4.783433198328742,7.3365740431880075,7.7117555522607955,0.0
0.612,0.792,0.492,0.124,-0.52,-0.068,0.49103304063406394,5.072160318308371,6.347480459074106,1.447337958314387,0.0
0.412,0.588,0.28,0.016,0.104,-0.016,5.310540481859704,7.513940382125693,1.2360047017946134,3.235007429474833,0.0
0.46,0.536,0.252,-0.164,-0.12,0.068,6.572155107322515,5.040522568086051,6.6061589031225,8.424224339650623,0.0
