0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.68,0.6,0.44,0.1,0.04,0.14,-0.1,-0.22,-0.12,0.1,-0.08,0.14,0.04,0.1,0.02,-0.12,-0.1,0.14,0.06,-0.02,0.12,-0.22,-0.04,0.1,-0.04,-0.1,-0.1,0.08,0.0,0.0,1.3653538791314455,1.8535880104755593,2.2913972488797474,1.7781833193968564,4.701756700930131
1.0,1.0,1.0,0.52,0.26,0.02,-0.12,-0.12,0.04,-0.26,0.0,-0.14,-0.26,-0.1,-0.04,-0.16,-0.1,-0.06,0.06,0.02,0.04,0.14,-0.02,0.24,0.02,0.12,-0.02,0.16,0.02,0.02,-0.02,0.04,0.1,5.03029034781021,3.998891270028156,5.534432987943454,3.3148564051369487,3.0995072933506993
1.0,1.0,1.0,0.2,0.2,0.0,-0.14,-0.4,0.1,-0.08,0.04,0.0,0.0,-0.1,-0.14,-0.08,0.06,-0.06,0.14,-0.02,0.0,0.14,0.06,-0.04,0.1,-0.18,0.12,-0.08,0.04,-0.08,-0.1,-0.22,0.08,4.274937219213151,2.687591306142039,5.5262618651263935,5.376363423288752,5.499966087518131
1.0,1.0,1.0,0.34,0.12,0.14,0.1,-0.08,-0.02,-0.04,-0.02,-0.06,0.08,0.02,0.06,0.12,-0.16,-0.12,0.06,-0.04,0.02,0.02,0.12,0.1,0.04,0.2,0.16,0.02,-0.08,-0.02,0.12,0.02,-0.02,3.6660464519030596,2.632545116485324,5.6381676470148046,1.1467175955007423,6.53572989790913
1.0,1.0,1.0,0.12,-0.18,-0.14,-0.3,-0.28,0.02,-0.1,0.08,0.14,0.0,0.04,0.04,-0.08,-0.06,0.26,-0.02,0.1,-0.2,0.1,0.04,-0.02,-0.08,0.04,0.0,0.04,-0.02,0.06,0.0,0.02,0.14,3.496676398802093,3.3688645934909225,10.615070316641495,4.514611067603323,5.031026993128783
1.0,1.0,1.0,0.58,0.4,0.3,0.02,-0.06,-0.08,-0.22,-0.08,0.1,-0.02,0.04,-0.06,-0.1,0.02,0.0,0.08,-0.1,-0.1,-0.08,-0.1,0.1,-0.08,-0.1,-0.02,-0.16,-0.02,-0.18,-0.1,0.02,-0.04,4.091485623040721,1.442603525450801,3.241476597257888,2.4686554776021694,4.2470583675794105
1.0,1.0,1.0,0.22,0.24,0.06,-0.38,-0.12,0.14,0.0,-0.1,0.1,-0.24,-0.02,-0.1,-0.12,0.0,0.08,-0.08,0.08,-0.04,0.18,-0.18,-0.08,0.18,0.14,-0.04,-0.04,0.02,-0.02,-0.14,-0.12,-0.06,2.541519979249257,1.6475218376801455,4.97114605770543,5.928821222593344,5.05160071214641
1.0,1.0,1.0,0.84,0.24,0.24,0.42,0.04,0.1,0.08,-0.08,-0.24,-0.38,0.14,-0.2,-0.34,0.02,0.04,-0.3,-0.04,-0.1,-0.3,-0.02,0.12,-0.06,-0.02,-0.12,0.02,-0.04,-0.02,-0.02,0.06,0.08,6.040789847075114,0.3964693098768053,6.565242083643794,2.572891676086377,1.9261018771113272
1.0,1.0,1.0,0.08,0.22,-0.06,-0.22,-0.32,0.22,0.12,-0.14,0.1,-0.1,0.0,0.1,-0.06,-0.14,0.04,0.04,-0.04,-0.08,0.26,0.1,0.04,-0.04,0.14,-0.1,0.08,-0.14,-0.22,0.14,0.14,0.08,1.9400019847289862,2.9314987620898805,4.699600018036341,6.050955117988861,5.996742952771315
1.0,1.0,1.0,0.24,-0.08,0.0,-0.16,-0.38,0.22,-0.14,0.14,0.04,-0.04,0.04,-0.2,-0.02,0.16,-0.14,0.14,0.0,0.18,0.04,-0.18,0.1,-0.14,0.02,-0.08,0.06,0.28,0.02,0.04,0.24,-0.04,1.5328072706769997,3.014784198424649,8.883038621065772,3.550670078779908,4.586443060851881
