0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.0,0.2,0.4,-0.4,-0.2,0.4,-0.6,-0.2,-0.2,-0.6,0.8,-0.4,0.2,-0.6,0.2,0.2,0.6,0.2,0.4,1.0,0.4,0.4,0.2,0.0,0.0,-0.8,0.2,-0.4,0.6,-0.4,0.07583687665827732,5.706752268455775,6.709584244024783,4.823266744894873,4.6665921971605595
1.0,1.0,1.0,0.6,-0.2,0.2,-0.4,0.0,-0.2,-0.8,0.0,-0.2,-0.2,0.6,0.2,0.0,0.2,-0.4,0.4,0.2,0.4,0.0,0.2,0.0,0.2,-0.2,-0.2,0.2,0.4,0.0,0.2,-0.2,-0.6,6.9983210358355965,2.5705874815028738,5.67291160608596,5.460585446823125,4.064643138194707
1.0,1.0,1.0,0.6,0.2,0.6,-0.4,0.2,0.0,-0.2,-0.2,-0.2,0.0,-0.4,-0.2,-0.4,0.0,0.6,-0.2,0.0,-0.4,-0.2,0.4,-0.4,0.4,-0.4,-0.6,-0.2,-0.6,0.6,0.0,-0.2,0.4,3.677433510740568,2.6686394603499584,2.7744974274901173,4.5176790832350155,2.934767359072362
1.0,1.0,1.0,0.2,0.6,0.2,0.0,0.4,0.2,0.0,0.0,0.2,0.2,-0.4,0.0,0.0,-0.2,0.4,0.2,-0.2,-0.2,0.4,0.2,0.4,-0.2,0.2,-0.6,-0.2,0.0,0.0,0.2,0.0,0.0,2.0136094371156132,2.7987099452577864,-0.5403978494565838,4.58121815505017,5.781369909903532
1.0,1.0,1.0,0.2,0.2,-0.2,-0.8,-0.2,0.4,0.4,-0.4,0.2,-0.2,0.0,0.4,-0.4,0.0,0.2,0.4,0.4,0.6,0.2,-0.4,-0.4,-0.8,0.2,-0.4,0.0,0.2,0.0,0.6,-0.2,0.2,2.998641478971082,0.35413054903150654,3.3594346144428058,6.9510740468737,5.019166140189057
1.0,1.0,1.0,0.2,0.0,0.0,0.6,0.0,0.4,0.4,-0.2,0.0,0.4,-0.2,-0.4,0.2,-0.8,0.0,0.2,-0.2,0.2,0.0,0.0,-0.2,0.4,-0.6,-0.4,-0.2,0.0,0.4,-0.4,0.2,0.0,0.7283723757847969,3.8421285505265907,3.70056392076902,2.579252668894118,8.675190802650425
1.0,1.0,1.0,0.6,0.2,0.6,-0.2,0.2,-0.2,0.4,-0.6,-0.4,0.0,-0.2,0.4,0.2,0.0,0.0,0.0,0.4,0.2,0.4,0.6,0.0,-0.2,-0.8,0.4,-0.2,-0.2,0.2,0.2,0.6,-0.2,5.346025431740749,3.2463060266780053,5.350772002159467,5.865679421222158,7.746299146602899
1.0,1.0,1.0,0.4,0.6,0.4,-0.4,-0.2,0.0,0.0,0.2,0.0,0.4,0.2,0.4,-0.2,-0.4,-0.4,0.2,0.0,0.4,-0.4,0.2,-0.4,0.2,0.2,0.6,0.6,0.0,0.0,0.0,-0.4,-0.2,1.5958380324425543,2.9720656258005587,2.6786865290667006,8.216908334961861,4.661191258899939
1.0,1.0,1.0,0.6,0.8,0.4,-0.6,0.0,0.0,-0.6,0.0,-0.4,0.4,0.0,0.2,0.4,-0.2,-0.4,-0.4,-0.2,0.0,0.2,-0.4,0.0,0.2,-0.2,0.2,-0.2,0.6,-0.2,0.2,0.2,0.2,5.639303234311315,5.203144123334299,4.930484148941551,4.953041964194174,4.128015699920641
1.0,1.0,1.0,0.0,0.2,0.0,0.0,0.0,0.6,0.4,0.4,-0.2,0.0,-0.6,0.4,-0.4,0.0,0.2,0.0,-0.4,0.2,-0.2,-0.2,0.2,0.4,0.4,0.2,-0.4,0.0,0.2,-0.4,0.4,0.2,1.1490200209860395,1.47507221054039,4.158408067531778,4.501586275902877,9.943211829819537
1.0,1.0,1.0,0.0,0.2,0.4,-0.2,0.0,-0.4,-0.6,0.0,0.4,0.2,0.0,-0.4,-0.2,0.2,0.2,-0.8,-0.8,0.6,-0.6,0.6,-0.6,0.2,0.6,0.2,1.0,0.0,0.0,0.6,-0.4,-0.4,4.707934344580359,-0.889998008566566,8.714316021222208,4.153956848194261,4.7970218228569514
1.0,1.0,1.0,0.4,0.2,0.8,-0.2,-0.6,0.6,0.0,-0.4,0.6,0.2,-0.4,0.4,0.0,0.8,0.2,0.2,0.0,0.4,-0.2,0.0,0.8,-0.4,0.6,0.0,0.4,0.0,-0.2,0.2,0.0,0.0,0.14058695826857237,2.128955906687978,5.973189992501812,6.585129618501789,2.8646706030742863
1.0,1.0,1.0,0.2,0.4,0.0,0.4,0.0,0.2,0.0,0.2,0.4,-0.4,-0.2,0.4,0.2,0.6,-0.2,0.0,0.6,0.0,0.0,0.0,0.2,0.6,0.2,0.6,-0.4,0.0,0.2,0.4,-0.2,-0.4,3.029674861586439,2.430338712233802,2.6726553229341095,4.961567913534083,4.194459046275455
1.0,1.0,1.0,0.0,0.8,0.2,0.2,0.0,0.0,0.0,0.4,0.2,-0.4,-0.6,0.4,-0.4,-0.2,-0.4,0.2,-0.2,0.2,0.0,0.2,-0.4,0.2,-0.2,-0.2,0.4,0.8,0.6,0.4,0.2,0.8,2.119532218512797,1.043233234627388,4.75418533533301,3.5496399584423166,1.957291402633083
1.0,1.0,1.0,0.0,0.4,-0.2,0.0,0.4,-0.2,0.0,0.0,0.2,0.4,0.2,0.0,-0.2,0.0,0.0,-0.2,-0.2,0.2,-0.4,1.0,-0.4,0.0,-0.2,0.0,-0.2,-0.2,0.6,-0.6,0.2,0.2,4.39197874207677,4.261428181365737,5.6814575464847445,6.161564596165861,6.488110581127012
