0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.71,0.298,0.216,0.144,-0.474,0.03,-0.472,-0.382,0.254,-0.752,0.12,-0.128,-0.612,0.222,-0.314,-0.214,0.034,-0.04,0.074,0.02,-0.05,0.15,-0.018,-0.088,0.018,-0.03,-0.024,-0.104,-0.042,0.05,1.3718031244523108,-0.6387005988596393,6.80748199663188,3.3970388647750416,2.2018715916658853
1.0,1.0,1.0,0.198,-0.026,0.008,-0.372,-0.268,0.168,-0.18,-0.006,0.022,0.032,0.048,0.008,-0.002,-0.002,0.028,0.032,-0.012,0.032,0.084,-0.01,-0.01,0.038,0.014,-0.04,-0.04,0.046,0.09,-0.05,0.038,0.0,3.2793123240532482,1.7561109815027736,7.559539986204891,6.0898734452238985,4.26490611285692
1.0,1.0,1.0,0.288,0.69,0.218,-0.612,0.028,-0.012,-0.574,-0.674,0.432,0.066,-0.958,-0.068,0.46,-0.636,-0.308,0.198,-0.016,0.014,-0.23,0.598,-0.156,-0.24,0.828,-0.28,0.016,0.58,0.012,0.21,0.026,0.032,-0.014910129839372566,0.8336204705030813,4.484193017835547,7.3123066090022615,0.990322030899236
1.0,1.0,1.0,0.38,0.34,0.116,-0.29,-0.218,0.084,-0.364,-0.16,0.248,-0.1,-0.042,0.038,0.032,0.0,0.044,-0.182,-0.02,0.042,-0.1,0.01,-0.026,0.156,0.06,0.024,0.244,0.068,-0.004,0.1,-0.002,0.01,2.286189344744586,1.0404013318251137,4.444253683455075,4.5553342178037335,4.160400687664243
1.0,1.0,1.0,0.598,0.52,0.35,-0.078,0.134,-0.016,-0.3,-0.074,0.134,0.078,0.014,0.232,0.15,0.026,0.072,-0.112,0.05,-0.03,-0.612,0.02,-0.024,-0.636,-0.07,0.022,-0.26,-0.08,0.064,0.208,-0.002,-0.05,1.9923618774232086,0.260095037174508,1.895301254964783,2.778044805527317,4.964428273623267
1.0,1.0,1.0,0.576,0.89,0.546,0.13,0.678,0.116,-0.086,0.342,-0.012,-0.138,0.11,-0.048,-0.026,-0.05,0.012,0.026,-0.042,0.06,-0.018,0.182,-0.004,-0.01,0.458,0.032,0.022,0.68,-0.03,-0.052,0.822,-0.018,-2.988415075116997,2.121522964240223,0.5615502369970562,2.2775384206960254,3.286740531741809
1.0,1.0,1.0,-0.16,-0.176,0.056,0.026,-0.014,0.384,-0.53,-0.184,0.154,-0.508,-0.08,0.04,0.622,0.094,0.144,-0.008,0.052,-0.048,0.73,0.056,0.062,-0.498,-0.094,0.088,-0.41,0.004,-0.046,-0.082,-0.06,0.026,2.413736386901396,-1.3044090404784012,6.726532935732691,6.615148635604482,10.137750006066396
1.0,1.0,1.0,-0.032,0.48,0.004,-0.49,0.006,0.008,0.02,0.038,0.014,-0.562,0.144,-0.198,-0.096,0.042,-0.006,0.982,-0.03,-0.028,0.222,-0.032,-0.058,-0.364,-0.062,0.082,0.054,0.034,0.028,-0.626,-0.022,-0.008,2.4601371000031254,-2.3413044201767526,1.5952184743433406,6.373732336262738,6.880867708677397
1.0,1.0,1.0,0.18,0.086,0.074,-0.618,-0.316,0.462,-0.144,-0.042,0.118,-0.174,-0.034,0.208,-0.568,-0.078,0.078,0.27,0.118,0.036,0.996,0.042,0.042,0.076,-0.048,-0.008,-0.622,0.01,0.012,-0.048,0.014,0.002,2.1002258053109055,-4.407609473379373,6.38670906219893,5.80325767474885,5.762963141059044
1.0,1.0,1.0,0.014,-0.124,-0.074,-0.062,-0.042,0.236,-0.058,-0.126,0.088,-0.358,-0.14,0.062,0.054,0.14,0.038,0.104,-0.032,0.0,0.022,0.058,0.004,0.1,-0.026,0.002,-0.012,0.016,0.008,-0.036,0.014,0.034,2.4644187121879804,1.765251260707429,6.862512120629868,5.593083811286422,9.312845342842756
1.0,1.0,1.0,0.306,0.034,0.02,-0.178,-0.332,0.134,-0.034,-0.038,0.044,-0.03,0.006,0.024,-0.028,-0.038,-0.038,0.004,-0.004,-0.06,0.0,0.056,-0.056,0.072,0.02,0.0,-0.034,-0.04,-0.014,0.0,-0.032,0.012,2.717699796835835,3.264163653645065,6.622779930358572,4.875659915103633,4.628701593378639
1.0,1.0,1.0,0.602,0.078,0.06,0.184,-0.172,-0.16,0.02,0.002,0.07,0.096,-0.188,0.008,0.306,-0.08,-0.038,0.388,0.078,0.078,0.076,0.06,-0.036,-0.094,-0.036,-0.03,-0.05,-0.036,0.034,-0.014,0.002,-0.036,2.8583098604011883,0.9186812530503438,5.041496492047408,-0.9556682723615584,8.087424991749131
1.0,1.0,1.0,0.316,-0.226,-0.074,-0.28,-0.326,0.57,0.08,-0.054,-0.678,0.038,-0.282,-0.092,-0.784,0.94,-0.812,-0.78,-0.062,0.042,0.184,-0.726,-0.21,0.284,0.204,0.54,-0.15,-0.184,0.394,0.312,0.62,0.416,-0.882112356579692,-0.4151827777930335,8.186281551584907,3.802332233940481,7.023479073894639
1.0,1.0,1.0,0.302,-0.192,-0.07,-0.588,-0.41,0.266,-0.5,0.198,-0.138,0.116,0.086,0.07,0.316,-0.096,-0.084,0.06,0.048,0.04,-0.092,0.032,-0.056,0.022,0.028,0.082,0.004,0.01,-0.002,-0.106,-0.002,0.004,2.020996835196024,0.6868523468462329,10.345868657619702,6.633566565415918,2.5688167401599236
1.0,1.0,1.0,0.298,0.112,0.102,0.124,-0.102,0.002,0.006,-0.042,-0.032,-0.01,0.004,0.002,-0.032,-0.034,0.054,-0.038,0.02,0.014,0.042,-0.01,0.032,-0.004,0.002,0.118,-0.042,-0.026,-0.032,0.006,0.016,0.026,4.663036214245664,5.569844194072253,5.362915259315973,1.006067101873279,4.53531607798351
1.0,1.0,1.0,0.408,0.206,0.006,-0.538,-0.558,0.424,-0.47,-0.334,0.508,0.024,0.098,-0.042,0.018,0.032,0.494,-0.22,-0.054,0.114,0.104,0.31,0.122,0.614,0.23,0.28,0.486,-0.186,-0.092,-0.328,-0.392,0.116,0.5620432621952898,0.15305699306136855,6.156103249040122,5.304372513521368,3.943274840450475
1.0,1.0,1.0,0.368,0.186,0.054,-0.324,-0.446,0.562,0.008,0.02,0.532,0.132,-0.408,-0.112,-0.734,-0.804,0.682,-0.88,0.358,-0.322,0.066,0.754,0.104,0.22,-0.046,-0.002,-0.196,0.26,-0.692,0.188,0.278,0.122,-1.1715065758676855,-1.4445412020104986,5.229673854949981,3.701511338177111,7.0404249770724405
1.0,1.0,1.0,0.422,0.122,0.088,-0.148,-0.17,0.054,-0.166,-0.078,0.02,-0.032,0.0,-0.024,0.042,0.006,-0.012,0.012,-0.014,0.002,0.018,-0.058,-0.036,0.012,0.012,-0.012,-0.01,-0.06,-0.01,0.046,0.02,-0.01,4.254718835952126,2.6256267448975175,6.213704301576799,4.062902720508562,3.7240424749710135
1.0,1.0,1.0,0.32,0.106,0.066,-0.47,-0.234,0.24,-0.202,0.014,0.084,-0.006,0.01,0.0,-0.55,-0.06,0.13,-0.44,0.052,0.004,0.658,0.026,0.012,0.838,0.02,0.026,-0.056,-0.026,-0.014,-0.244,-0.014,0.014,2.959266958897195,-1.4362508797574431,6.507180732227008,4.988037462259799,5.683811329814358
1.0,1.0,1.0,0.1,0.124,-0.004,-0.672,-0.508,0.504,-0.166,-0.106,0.048,0.182,0.148,0.242,0.02,0.028,0.016,0.188,-0.006,0.07,0.27,0.15,0.108,-0.184,-0.008,0.012,-0.29,-0.176,0.074,0.192,0.04,-0.024,1.311245267175762,0.672361379405567,7.067204358959259,7.315003076387278,4.047891782387335
1.0,1.0,1.0,0.678,0.454,0.356,0.338,-0.46,-0.27,0.066,-0.724,-0.058,-0.064,-0.2,0.076,-0.074,0.144,-0.094,0.012,-0.05,-0.254,0.092,-0.134,-0.042,0.088,0.3,0.072,0.018,0.708,0.038,-0.046,0.294,-0.016,-2.0794862897884507,1.4699950215442081,5.06938707441338,1.2524095354371605,3.424355566535353
1.0,1.0,1.0,0.108,-0.49,-0.086,-0.262,-0.196,0.162,-0.002,-0.05,-0.26,-0.138,0.358,-0.172,-0.198,0.21,-0.064,0.096,-0.924,-0.064,0.1,0.632,0.14,0.02,-0.012,-0.012,0.05,0.116,0.09,-0.008,-0.6,-0.028,-0.3145184112534145,1.5921295586675517,10.299548706733823,5.2962295929222245,6.8566280488781075
1.0,1.0,1.0,0.41,-0.144,-0.062,-0.298,-0.536,0.51,-0.134,0.042,-0.456,0.132,-0.246,-0.27,-0.496,0.48,-0.484,-0.932,0.632,-0.644,-0.224,-0.826,0.198,0.564,-0.296,-0.24,0.368,0.392,0.872,-0.014,-0.044,-0.006,-0.6962961162231194,-1.6924743151991208,7.890502050690236,3.913211587329512,6.070160442970664
1.0,1.0,1.0,0.078,0.148,-0.026,-0.408,-0.16,0.136,-0.036,-0.036,0.048,-0.066,0.044,-0.01,-0.084,-0.044,-0.024,0.154,-0.016,-0.006,0.058,0.006,-0.012,-0.15,-0.024,0.014,-0.03,0.052,0.022,-0.02,0.056,-0.052,4.014490954184227,1.4246919576766877,5.17658692735892,6.819589720300655,5.5310682674786324
