0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.088,0.206,0.058,-0.278,-0.19,0.032,-0.022,-0.08,0.03,0.016,0.044,0.044,-0.05,-0.056,-0.01,-0.036,-0.04,0.032,0.052,0.074,-0.006,0.048,0.058,0.054,-0.058,0.008,0.034,0.036,-0.016,-0.02,3.2533856395012526,3.359264395985264,4.9306559852594605,6.054350317864782,5.024307685739332
1.0,1.0,1.0,0.78,0.04,-0.004,0.402,-0.21,-0.108,-0.052,-0.046,0.03,-0.298,0.064,-0.07,-0.414,0.022,-0.056,-0.31,-0.03,0.02,-0.228,-0.058,0.05,-0.112,0.008,-0.012,-0.026,-0.026,-0.016,0.088,-0.038,0.018,4.618271132905431,1.0643448580357726,9.619489599373834,3.622475474251555,-0.5614202418923888
1.0,1.0,1.0,0.454,0.116,0.014,-0.396,-0.504,0.296,-0.602,-0.12,0.194,-0.134,0.104,-0.11,0.018,0.022,0.12,-0.338,0.088,-0.154,-0.276,0.098,-0.098,0.45,-0.018,-0.012,0.942,-0.032,-0.03,0.47,-0.016,-0.022,1.5348514621348897,-2.5770053242808215,6.998180170906479,4.6889231155841795,3.972159743065377
1.0,1.0,1.0,-0.146,0.036,-0.018,-0.114,-0.084,-0.014,-0.02,0.032,-0.012,-0.012,-0.024,-0.06,0.04,0.01,-0.006,0.0,-0.002,-0.034,0.024,-0.014,0.018,-0.068,0.014,-0.002,0.03,-0.004,0.026,-0.044,-0.01,-0.002,5.425523592196703,3.79457656634938,6.1973422482907505,8.293258780354467,6.5343034062764325
1.0,1.0,1.0,0.084,0.374,0.022,-0.24,0.088,0.016,-0.046,-0.03,-0.04,0.028,0.028,0.02,0.032,0.008,-0.012,-0.032,0.02,0.012,0.01,0.034,-0.044,0.018,0.024,-0.026,0.004,0.002,0.03,0.032,0.04,-0.056,4.654096201910441,3.5614146534828084,2.4850178668568685,7.376355377821424,3.156136798702894
1.0,1.0,1.0,0.55,0.238,0.152,-0.038,-0.368,-0.002,-0.336,-0.258,0.154,-0.232,0.068,-0.084,-0.048,0.07,-0.026,-0.028,-0.016,0.044,0.058,0.012,0.014,0.03,0.046,-0.02,0.044,0.034,0.01,0.0,-0.09,0.03,1.9120717846717186,1.5680379312159514,6.586011796978186,3.838066702849639,2.809307066345508
1.0,1.0,1.0,0.348,-0.066,-0.018,-0.642,-0.76,0.778,-0.492,0.062,-0.102,0.036,0.252,0.164,-0.042,-0.004,-0.238,-0.222,0.278,-0.316,0.422,-0.208,-0.25,0.79,-0.556,-0.526,-0.164,0.346,-0.094,-0.972,0.544,-0.532,0.27178007365045476,-0.8415924304737907,8.310890683605077,5.798586571463489,4.154471438007396
1.0,1.0,1.0,0.164,0.284,0.068,-0.604,-0.376,0.508,-0.156,-0.12,0.34,-0.142,-0.018,0.084,-0.528,-0.294,0.35,0.306,-0.236,-0.114,0.984,0.21,0.206,0.044,0.294,-0.01,-0.618,0.024,-0.034,-0.114,-0.076,0.054,0.9448216913202401,-3.496074583075268,4.890742870288055,5.87042993820501,5.663943555995798
1.0,1.0,1.0,0.328,0.116,-0.008,-0.104,-0.208,0.044,-0.008,-0.008,0.028,0.086,-0.032,0.018,0.008,-0.078,-0.022,0.004,0.004,0.0,-0.056,0.024,-0.012,-0.02,0.002,0.002,-0.004,0.026,0.002,-0.082,0.028,0.014,2.641891429156281,3.0718383771916193,5.065018249873271,2.3625386775961967,6.850748514635704
1.0,1.0,1.0,0.31,0.064,-0.01,-0.252,-0.912,0.296,-0.214,-0.046,0.052,-0.046,0.618,-0.032,0.088,0.056,0.02,-0.008,-0.154,-0.13,0.008,0.034,-0.026,-0.018,-0.264,-0.07,0.002,-0.178,0.036,-0.056,0.64,-0.072,-1.9698964540340378,2.3398518023486607,8.266495048137198,5.7135415251656525,2.9708281265251832
