0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.9,0.56,0.54,0.2,-0.28,-0.12,0.04,-0.72,0.04,-0.68,-0.8,0.64,-0.48,0.02,-0.1,-0.38,0.16,-0.54,-0.2,0.28,-0.32,-0.22,-0.1,0.08,-0.12,0.08,-0.32,1.7900276545998461,1.7087045778756957,2.4461603573208053,4.2837385436933,2.155780533708952
1.0,1.0,1.0,0.82,0.74,0.64,0.1,-0.2,0.06,-0.04,-0.5,0.14,-0.32,-0.36,0.8,-0.3,-0.28,0.58,-0.06,0.1,-0.2,0.16,-0.36,-0.24,-0.18,-0.52,0.26,-0.58,-0.38,0.4,1.4079686206134872,1.193897200545029,2.027885349066033,3.1511571663614246,3.1109084117819044
1.0,1.0,1.0,0.5,0.7,0.48,-0.3,0.02,-0.12,-0.56,-0.42,0.66,-0.2,-0.4,0.6,-0.04,-0.08,0.0,-0.26,0.08,-0.3,-0.34,-0.3,0.4,0.18,-0.84,-0.14,0.78,-0.78,-0.72,2.120043956266972,0.3056826358791692,3.905529212412553,2.5772691000809527,3.46187913946148
1.0,1.0,1.0,0.16,0.2,0.04,-0.46,-0.42,0.6,-0.54,-0.54,0.96,0.02,-0.1,0.04,-0.34,-0.32,0.7,-0.64,-0.62,0.78,-0.16,0.16,0.04,0.96,0.92,0.92,0.58,0.48,0.34,1.1434123701469205,1.5569644916204517,4.330193620826804,4.41103264302757,4.3311290837297385
1.0,1.0,1.0,0.86,0.7,0.6,0.36,0.12,0.2,-0.06,-0.32,0.14,-0.5,-0.62,0.72,-0.52,-0.5,0.98,-0.3,-0.22,0.4,0.1,-0.1,0.04,-0.16,-0.18,0.3,-0.08,-0.1,0.78,-0.3746477971653397,2.1968540619880876,2.366299471605829,2.828410898319033,2.3564104197486944
1.0,1.0,1.0,0.58,0.5,0.32,0.0,-0.28,0.0,-0.08,-0.04,0.56,0.18,0.18,0.92,0.34,-0.02,0.04,0.18,-0.5,-0.16,-0.54,-0.94,0.6,-1.0,-0.58,0.58,-0.7,0.06,-0.04,1.0266893154150498,1.5949096441266175,2.054184249817874,2.775104602485078,4.682433954970299
1.0,1.0,1.0,0.6,0.46,0.34,0.38,-0.5,-0.28,0.04,-0.5,0.26,-0.04,0.22,0.1,0.26,-0.18,-0.88,0.44,-0.52,-0.72,0.2,-0.02,0.1,-0.2,0.98,-0.22,-0.72,0.56,-0.4,0.690580250516365,2.373418423985421,1.5123270628250338,4.545236544784105,4.111240530042879
1.0,1.0,1.0,0.56,0.7,0.5,-0.14,0.28,0.06,-0.68,-0.3,0.26,-0.24,-0.34,0.66,-0.12,0.0,-0.08,-0.14,0.36,-0.54,-0.58,0.22,-0.24,-0.22,-0.24,0.1,0.7,-0.8,-0.66,0.7710175884512722,0.9817752073422147,3.666830670822743,1.8163942695514563,3.5006503209370243
1.0,1.0,1.0,0.58,0.38,0.32,-0.44,-0.52,0.4,-0.38,-0.38,1.0,0.02,0.12,0.22,-0.14,-0.14,0.28,-0.76,-0.76,1.0,-0.58,-0.44,0.34,0.46,0.5,0.32,0.98,1.0,0.98,0.976387130090426,0.7932396558802737,3.724357739548844,3.7753618132164206,4.280564556683116
1.0,1.0,1.0,0.58,0.68,0.42,0.08,0.26,0.02,-0.28,-0.34,0.42,-0.3,-0.28,0.98,0.16,0.16,0.44,-0.32,0.22,-0.14,-0.7,-0.42,0.44,-0.86,-0.74,0.84,-0.4,-0.98,0.42,0.8149250207674862,3.3624764568725922,2.776081267702855,2.0356638859662244,4.0794909193916356
