0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.234,0.254,0.064,-0.132,-0.08,0.06,-0.094,-0.09,0.012,-0.002,-0.03,0.012,0.048,-0.016,0.012,0.038,0.008,0.01,-0.018,-0.078,0.036,-0.056,-0.036,-0.004,0.032,0.06,-0.004,5.317927929411668,4.111196037015087,5.439147184967477,6.134234762723864,0.0
1.0,1.0,1.0,0.27,0.178,0.04,-0.078,-0.088,0.01,-0.096,-0.082,0.01,-0.04,-0.044,-0.016,-0.034,0.02,-0.05,0.034,0.036,-0.002,0.034,0.018,-0.012,-0.084,-0.008,0.024,-0.03,0.03,-0.02,5.92467745600876,4.310819266256354,6.1404613110272095,5.593790864560216,0.0
1.0,1.0,1.0,0.198,0.366,0.088,-0.132,0.146,0.014,-0.12,0.09,-0.022,-0.038,0.06,-0.066,0.01,-0.022,0.036,-0.016,0.014,0.002,0.03,0.04,0.018,-0.014,-0.026,-0.012,0.024,-0.01,-0.01,5.315925326311393,4.766795348897722,0.27238700364979085,6.54228197066935,0.0
1.0,1.0,1.0,0.322,0.304,0.106,-0.074,-0.06,-0.03,-0.156,-0.134,0.034,-0.028,-0.064,-0.012,-0.01,0.028,-0.002,-0.016,0.01,-0.006,0.044,0.078,0.014,0.028,0.018,0.006,-0.004,0.002,-0.026,3.5637711651306088,3.845639833414582,5.304885255331321,5.073633305486087,0.0
1.0,1.0,1.0,0.174,0.382,0.048,-0.058,0.092,-0.054,0.002,0.05,0.024,0.01,0.038,0.004,-0.022,0.004,-0.078,0.002,-0.068,-0.014,-0.014,-0.006,0.072,0.0,-0.004,-0.004,0.0,0.04,0.032,4.8593862629994895,7.685878294165313,2.6185044067829684,5.649051886663387,0.0
1.0,1.0,1.0,0.204,-0.038,-0.018,0.006,-0.46,-0.002,-0.078,0.102,-0.048,-0.018,0.162,-0.02,0.018,-0.09,0.0,-0.044,-0.064,0.024,0.042,0.032,-0.03,0.002,0.11,0.016,-0.016,-0.014,0.022,2.096039896920701,5.574065316084749,9.437538315938468,4.82535267847275,0.0
1.0,1.0,1.0,0.068,0.468,0.04,-0.008,-0.3,-0.004,0.012,-0.6,-0.004,0.034,-0.36,-0.038,-0.058,0.042,-0.056,-0.014,0.268,-0.006,0.014,0.276,0.042,0.048,0.066,-0.034,-0.004,-0.164,0.004,1.0245334219190165,8.073602493708467,5.461061088126744,6.398939919006103,0.0
1.0,1.0,1.0,0.298,0.39,0.096,-0.056,0.096,-0.084,-0.044,0.022,-0.034,0.016,-0.004,-0.044,0.0,-0.038,-0.006,-0.018,-0.05,-0.012,0.022,-0.002,-0.036,0.002,0.016,0.01,-0.024,0.016,0.024,5.157417622359415,4.449140092819699,3.134225463251862,4.78449810760512,0.0
1.0,1.0,1.0,0.23,0.29,0.084,-0.188,0.008,-0.024,-0.182,-0.032,0.022,0.06,-0.062,-0.002,0.074,0.022,-0.02,0.07,-0.024,0.038,-0.06,0.04,0.016,-0.032,0.012,0.056,-0.014,-0.008,0.01,5.552518590708934,3.3615919474434373,4.606287048979498,6.927142351715788,0.0
1.0,1.0,1.0,0.132,-0.004,0.032,-0.11,-0.084,0.026,-0.042,-0.016,-0.034,0.0,-0.038,-0.046,-0.008,0.042,-0.01,0.006,-0.002,-0.008,-0.048,0.036,-0.028,-0.018,-0.038,0.004,0.018,0.026,0.02,7.934672160172552,5.952136687610407,8.106642303331855,7.56584151993412,0.0
