0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.578,0.256,0.146,-0.052,-0.044,-0.012,-0.376,-0.032,0.008,-0.446,-0.022,0.016,-0.226,-0.044,0.07,0.058,-0.022,-0.008,0.138,0.048,-0.018,0.134,0.026,0.016,0.004,0.026,-0.018,4.761777685977714,1.2461972512065511,5.101310059178836,4.705039233413523,0.0
1.0,1.0,1.0,0.552,0.436,0.268,0.25,0.094,0.072,0.084,-0.032,0.052,0.054,-0.066,-0.012,0.032,-0.012,-0.032,-0.014,-0.032,-0.03,0.01,-0.028,-0.006,-0.032,-0.018,0.002,0.04,0.038,0.01,3.486035351255304,3.3049925355491236,3.25508832705685,1.5362812929545315,0.0
1.0,1.0,1.0,0.242,0.53,0.104,-0.142,0.238,-0.052,-0.128,0.008,0.068,-0.048,-0.1,0.02,-0.012,-0.11,0.002,0.012,-0.052,-0.056,0.062,-0.042,0.008,-0.094,-0.006,0.008,-0.028,0.002,0.022,2.829015643820812,3.9799121934899375,2.8638027736345144,6.0544243675703395,0.0
1.0,1.0,1.0,0.404,0.496,0.184,0.05,-0.474,0.008,-0.114,-1.0,0.114,-0.102,-0.512,0.026,-0.018,0.478,-0.012,0.08,0.998,0.078,0.028,0.58,0.028,-0.014,-0.446,-0.004,-0.02,-0.998,0.022,-0.1037267477006969,3.423409734360105,5.958487348874523,4.041834953668167,0.0
1.0,1.0,1.0,0.604,0.452,0.252,0.114,-0.186,-0.072,-0.252,-0.436,0.144,-0.41,-0.258,0.056,-0.256,-0.062,-0.01,-0.074,0.182,0.0,0.072,0.104,-0.016,0.112,0.076,0.028,0.088,-0.06,0.044,1.7051394994836515,1.3528880294576104,5.467235721743385,4.104120188129394,0.0
1.0,1.0,1.0,0.246,0.464,0.102,-0.068,-0.088,-0.04,-0.066,-0.242,0.04,0.002,-0.088,-0.01,0.032,0.008,-0.032,-0.004,-0.036,0.044,-0.002,0.088,0.006,0.028,0.05,0.026,0.002,-0.01,-0.092,2.5713672478903336,4.317825295807619,4.919791081527132,5.9001273066584385,0.0
1.0,1.0,1.0,0.132,0.142,0.05,-0.124,-0.144,0.02,-0.08,-0.092,0.012,-0.004,-0.058,-0.058,0.06,0.076,-0.008,0.018,0.034,0.044,-0.042,-0.016,0.034,0.046,-0.004,0.042,0.034,0.012,0.002,3.7390542470506896,4.406163408120575,6.7227413216080505,7.2640636755753265,0.0
1.0,1.0,1.0,0.048,0.54,0.004,-0.486,-0.122,0.08,-0.1,-0.566,0.102,0.238,-0.454,-0.14,0.052,-0.094,-0.058,-0.11,0.254,-0.072,-0.002,0.332,-0.014,0.106,0.142,0.004,-0.016,-0.088,0.0,1.0354867284875187,2.092807497972128,5.2104019209280485,8.632809527369325,0.0
1.0,1.0,1.0,0.368,0.514,0.206,0.07,0.22,-0.006,-0.066,0.046,0.004,-0.044,0.014,0.038,0.026,-0.058,-0.02,0.006,-0.02,-0.018,0.008,-0.042,-0.018,-0.008,0.01,-0.002,-0.02,-0.04,0.072,3.361742277152332,4.003900000190903,2.365343201540935,3.7941745623071714,0.0
1.0,1.0,1.0,0.55,0.244,0.17,-0.358,0.036,-0.002,-0.904,0.04,-0.036,-0.626,0.008,-0.018,0.168,-0.026,-0.03,0.762,-0.006,-0.012,0.716,0.046,-0.01,-0.016,-0.004,0.036,-0.678,-0.01,-0.004,6.694928251061464,0.1433924755089815,3.8838141006541926,5.614589655664029,0.0
