0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.378,0.076,0.062,0.144,-0.226,-0.018,0.002,0.0,-0.066,0.0,0.036,-0.068,-0.022,0.02,0.022,-0.018,-0.07,-0.072,0.006,0.008,-0.01,0.018,-0.022,0.016,0.018,0.008,0.022,4.105680618781633,5.3924625189066475,8.454960568581953,2.192139392865589,0.0
1.0,1.0,1.0,0.572,0.182,0.082,0.246,-0.062,-0.012,0.044,-0.028,0.004,-0.176,-0.08,-0.016,-0.176,-0.058,0.034,-0.084,-0.01,0.01,-0.106,0.006,0.028,-0.086,-0.042,0.024,0.06,-0.056,0.012,6.806003845825804,2.329911149423432,4.9632273626854255,2.8663859512264462,0.0
1.0,1.0,1.0,0.312,0.256,0.064,0.072,-0.07,-0.07,0.01,0.016,0.026,-0.01,-0.038,-0.076,0.024,0.004,-0.072,-0.038,-0.006,0.008,0.03,0.026,-0.016,0.03,0.01,0.0,-0.03,-0.026,0.008,5.458078144724798,6.412549593235761,4.796362375804848,3.0790169523743223,0.0
1.0,1.0,1.0,0.222,0.376,0.046,-0.162,0.048,-0.026,-0.076,-0.03,0.05,-0.02,-0.058,-0.042,0.048,-0.032,0.028,0.054,0.004,0.034,0.018,-0.038,-0.024,0.036,0.0,-0.028,-0.032,0.08,-0.04,4.50376204104066,4.12872757912761,3.2382349956790595,6.5693742805482644,0.0
1.0,1.0,1.0,0.27,0.056,-0.014,-0.012,-0.108,0.028,0.026,-0.068,-0.014,0.038,0.048,-0.014,-0.016,0.002,0.022,0.04,-0.016,-0.052,0.024,0.022,0.054,0.002,-0.042,0.028,-0.01,0.016,0.002,5.892592877457402,6.968262546254517,7.5009553309115065,3.4813121937308873,0.0
1.0,1.0,1.0,0.388,0.278,0.038,0.044,-0.008,-0.068,-0.146,-0.054,-0.028,-0.13,-0.024,-0.062,-0.02,-0.02,-0.012,-0.022,-0.02,0.07,0.01,0.034,-0.008,-0.026,-0.028,0.014,0.02,0.046,-0.01,5.367877447044341,3.194501255722839,4.564116663747846,4.782592016425942,0.0
1.0,1.0,1.0,0.21,0.318,0.048,-0.236,0.038,0.038,-0.1,-0.038,0.022,0.014,-0.064,0.014,0.052,-0.02,0.008,-0.016,-0.012,0.024,0.004,0.0,-0.024,-0.02,-0.044,-0.056,0.02,-0.038,0.01,4.258600618286992,4.146559754264423,4.059235372754684,7.189055934212005,0.0
1.0,1.0,1.0,0.212,0.276,0.008,0.012,-0.182,0.03,-0.002,-0.162,-0.06,-0.002,-0.03,-0.012,-0.026,0.038,-0.056,-0.02,0.004,-0.048,-0.028,-0.002,0.01,0.026,-0.05,0.012,-0.012,-0.002,-0.022,3.3697691378936403,7.493455412556441,5.966451082634603,3.845891410057849,0.0
1.0,1.0,1.0,0.414,0.352,0.174,-0.024,-0.048,-0.032,-0.194,-0.148,0.034,-0.116,-0.074,0.006,-0.1,0.02,0.028,0.036,0.062,-0.01,0.0,-0.004,0.012,0.0,-0.046,-0.038,0.032,0.016,-0.008,3.345166514405757,2.793077506370211,5.061460897960613,5.163547708104959,0.0
1.0,1.0,1.0,0.31,0.398,0.116,0.032,0.092,-0.068,-0.034,0.026,0.024,-0.074,0.038,-0.02,-0.032,-0.026,0.002,0.012,0.002,-0.018,0.01,-0.046,-0.012,0.018,0.022,0.02,-0.044,0.028,0.02,4.973436770826581,4.9222577858058445,2.7279740055561534,3.6104773780488184,0.0
