0_0,0_1,0_2,0_3,0_4,0_5,0_6,0_7,0_8,0_9,0_10,0_11,0_12,0_13,0_14,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,1_13,1_14,decay_0,decay_1,decay_2,decay_3,W_0,W_1,W_2,W_3,J_0,J_1,J_2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06,0.008,-0.028,-0.012,-0.096,-0.004,0.008,0.004,-0.008,-0.036,0.0,0.032,0.02,-0.064,-0.028,6.1449145477500275,3.7969206337264927,3.989558756984507,3.644934827005557,5.27476231567007,4.339637075856094,5.274070520027852,5.790263978678718,4.725852847716545,6.082424315265179,6.235437218729121
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.004,-0.028,0.024,-0.04,0.004,-0.012,0.032,-0.032,-0.068,0.004,0.064,0.008,-0.052,0.028,0.032,4.788072474666049,2.9355149237643174,5.807823847425102,3.6774955649813763,5.699712043355995,4.915840294519198,5.032726552647127,4.318984190256737,4.816233007154931,3.7844450192713532,5.592603927814142
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028,0.02,0.04,0.02,0.024,0.0,0.068,-0.02,-0.048,-0.088,0.028,0.04,0.044,0.1,-0.008,5.086818533024667,5.674991224222939,5.501632043084538,5.602398486407149,5.335988514385927,5.182441326788031,6.283742195499495,5.123559767582318,3.052207026521507,4.254419167075571,5.321704341594648
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,-0.016,0.052,0.044,0.008,-0.02,0.016,0.004,0.016,0.044,0.048,-0.032,-0.036,-0.016,0.036,3.6800146770658833,6.627674173140904,4.777367828748223,3.5838698531392934,3.138961142024966,2.528977894157132,4.1598303695145855,4.607158003349635,4.542485840959585,3.488663705283677,5.654167699351178
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036,-0.052,0.056,-0.024,0.004,-0.028,0.032,-0.076,-0.024,-0.056,-0.004,0.076,0.0,-0.008,-0.004,4.22625411188865,3.934639285010774,5.012030476871276,5.509230906852602,5.299921265734012,5.5695259041986755,5.809750473368583,3.3203170150563577,3.3231582651045093,5.0579480656556335,4.190346021680431
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.02,0.048,0.076,-0.02,-0.048,0.044,-0.048,0.032,0.076,-0.016,-0.02,0.044,-0.112,-0.06,-0.024,4.688774880050113,5.696983200918621,4.8160786005757155,3.667627353247446,5.645333340887473,3.444439219446261,4.435388038409471,5.129534944031962,6.038976122034979,4.622311035458554,4.343311764261649
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.024,0.024,-0.032,-0.072,0.056,0.024,-0.032,0.004,-0.044,0.036,-0.02,-0.052,-0.004,0.06,0.052,3.8987237916522064,5.185393401527577,3.9870169578230312,6.469715159467604,5.0576743560186,6.035736497797145,6.476397587889233,5.449818519595606,4.997865285828425,5.477278957881248,4.571491315001492
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016,0.084,0.052,-0.028,-0.012,-0.016,-0.04,0.048,0.0,0.004,-0.036,-0.02,-0.012,0.032,0.048,4.0617346647040184,4.129073507518868,3.1185228908634084,4.743533530155613,5.206754343454328,6.311662658899039,5.678862993482588,4.72013946126979,4.023092301497368,4.486182974287984,5.362726116704558
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,-0.004,0.112,-0.032,-0.132,0.068,0.024,0.016,0.02,0.1,0.016,-0.024,0.044,-0.004,0.04,3.8601283660549797,4.947833054143368,3.7269505080702583,4.300993967240228,5.143219035991694,4.854270387900539,6.895675526991896,6.169592131433297,4.151363866841194,5.857586735892594,3.8616510781260738
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.012,-0.06,-0.112,0.02,-0.048,-0.008,0.02,-0.004,0.072,-0.04,-0.028,0.008,-0.012,-0.02,-0.04,5.880358649380323,6.541972191964044,5.435573316484718,6.028388513277994,6.075537481021845,4.314538562801631,3.4254161105304943,6.062494087821291,5.381647322757787,4.0570984021842404,4.977614916043953
