0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.394,0.284,0.086,0.166,0.004,-0.026,0.054,-0.01,0.036,-0.032,-0.036,0.0,0.014,0.092,-0.046,0.008,-0.016,-0.024,-0.07,0.038,-0.02,-0.02,0.02,-0.004,0.026,-0.012,-0.022,6.256998432769248,4.425289841291757,3.856090709597157,1.861325214191171,0.0
1.0,1.0,1.0,0.282,0.55,0.12,0.028,0.206,-0.026,-0.024,0.022,0.01,-0.012,0.042,-0.026,0.01,-0.032,-0.01,-0.004,-0.074,0.006,-0.01,0.0,0.026,-0.01,-0.072,0.046,-0.016,-0.024,-0.004,3.179909351467637,6.352427648352624,2.3629711862379223,4.204381640208879,0.0
1.0,1.0,1.0,0.458,0.188,0.074,0.132,0.0,0.008,0.002,0.01,0.012,-0.072,-0.002,-0.01,-0.002,-0.058,-0.048,-0.08,0.068,0.016,-0.016,0.058,-0.006,0.052,-0.046,-0.026,-0.012,-0.008,0.052,8.817078894145267,3.331340958825499,4.177683711891781,3.466621092771552,0.0
1.0,1.0,1.0,0.588,0.046,0.042,0.218,-0.164,-0.122,0.022,-0.02,0.014,0.022,-0.044,-0.07,-0.028,-0.018,0.01,-0.068,-0.018,-0.01,-0.018,-0.014,-0.024,-0.034,-0.01,-0.02,-0.014,0.0,0.026,6.538597990312137,3.209336618719769,7.958113380250083,2.4007046271298553,0.0
1.0,1.0,1.0,0.132,0.444,0.048,-0.016,-0.592,0.02,-0.03,-0.994,0.028,-0.024,-0.35,0.058,0.024,0.666,0.026,-0.014,0.97,-0.008,0.044,0.29,-0.014,0.014,-0.754,0.012,0.004,-0.942,-0.002,-0.3635723917889768,7.563484362688769,6.21405903811117,7.028675062158999,0.0
1.0,1.0,1.0,-0.106,-0.116,-0.006,-0.022,-0.226,-0.008,-0.04,0.03,-0.03,0.04,0.084,0.016,-0.044,-0.02,-0.04,0.03,0.004,-0.018,0.044,-0.07,-0.054,-0.002,0.058,-0.008,-0.054,-0.004,0.034,3.8278938048152433,7.740933563014672,9.907257882739323,11.28499676190111,0.0
1.0,1.0,1.0,0.1,0.484,0.036,-0.162,0.126,-0.032,-0.07,0.024,0.006,-0.03,-0.054,-0.008,0.056,-0.082,-0.026,0.008,-0.026,-0.002,0.012,-0.026,0.006,0.024,0.016,0.04,0.0,-0.012,-0.04,4.1254578913127204,4.656508427438023,3.4133157310422426,8.02897996659875,0.0
1.0,1.0,1.0,0.12,0.232,-0.012,-0.036,-0.092,-0.004,0.006,-0.114,-0.016,-0.018,-0.002,0.02,-0.018,0.076,-0.018,-0.016,0.002,0.006,-0.008,0.066,0.006,0.05,0.014,0.016,0.022,-0.072,-0.03,4.124505364298962,8.3736336190384,6.037426489503564,4.948987172427373,0.0
1.0,1.0,1.0,0.148,0.146,0.034,-0.616,-0.118,0.114,-0.228,-0.006,-0.01,0.356,0.0,0.036,0.25,-0.01,0.008,-0.106,0.028,-0.034,-0.274,0.016,0.038,0.126,-0.024,-0.09,0.136,-0.008,-0.016,4.382783628689887,1.1322889627934445,7.048104871007595,7.997776317141195,0.0
1.0,1.0,1.0,0.36,0.396,0.148,0.09,0.154,0.056,0.022,0.03,-0.02,0.014,-0.008,0.01,-0.038,-0.02,-0.07,0.04,-0.014,-0.042,-0.038,0.032,-0.006,-0.024,0.0,0.02,0.026,0.03,0.004,4.405807461099949,5.144533321478041,2.4663931300946413,2.660504969139658,0.0
