0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.438,0.318,0.128,0.12,-0.07,-0.026,0.01,-0.116,-0.022,0.014,-0.024,0.002,0.032,0.018,0.018,-0.024,-0.002,0.006,-0.038,0.002,-0.004,-0.004,-0.004,0.02,0.014,0.032,0.05,4.424494933765806,4.458625025929295,5.440107035680922,2.4444347975672094,0.0
1.0,1.0,1.0,0.02,0.154,-0.002,-0.176,-0.1,0.02,-0.052,-0.034,-0.07,0.012,-0.054,0.054,-0.004,0.01,0.046,0.046,-0.014,-0.016,-0.076,0.002,0.022,-0.048,0.032,0.004,0.012,-0.018,-0.05,5.318292524710615,6.237338951530246,5.529710703976219,7.870090598845946,0.0
1.0,1.0,1.0,0.518,0.262,0.116,0.304,-0.038,-0.018,0.116,-0.104,-0.028,0.048,-0.08,0.024,0.008,0.012,-0.04,0.046,-0.01,-0.016,-0.006,-0.032,0.05,-0.056,0.022,-0.018,0.02,-0.01,0.046,5.32599274822641,3.4542997346099042,4.443986630415765,0.48597307373576726,0.0
1.0,1.0,1.0,0.212,0.212,0.032,0.034,-0.004,0.026,-0.024,-0.054,0.038,0.028,-0.008,0.032,0.052,-0.014,0.03,-0.048,-0.056,0.0,0.01,0.006,0.044,-0.012,-0.026,-0.042,0.048,0.064,-0.044,5.091263750243067,8.61696556508925,5.317770048472732,2.841798947107889,0.0
1.0,1.0,1.0,0.23,0.082,0.024,0.022,-0.246,0.032,-0.074,-0.016,-0.038,-0.018,0.04,-0.026,-0.058,0.022,0.056,-0.056,0.022,0.026,-0.03,-0.036,0.018,-0.016,-0.068,0.0,0.022,0.018,0.02,4.023934549886642,6.073566370413893,8.157900178788228,3.8550433725699347,0.0
1.0,1.0,1.0,0.302,0.246,0.044,0.054,0.02,-0.022,-0.026,0.0,-0.026,0.012,0.0,0.0,-0.014,-0.006,-0.012,0.02,0.006,-0.018,-0.004,0.04,-0.02,-0.042,0.016,0.006,-0.006,-0.018,0.02,6.6053763127574845,6.671738530426305,4.266660198600771,2.1210832217986124,0.0
1.0,1.0,1.0,0.264,0.302,0.082,-0.022,-0.224,-0.042,-0.058,-0.198,0.096,-0.002,-0.006,-0.048,-0.036,0.044,-0.012,-0.058,0.106,-0.032,-0.004,-0.042,-0.046,-0.018,0.002,-0.008,-0.012,-0.046,0.058,2.9605076489839615,4.574233048058559,6.575670267556403,5.430133048582845,0.0
1.0,1.0,1.0,0.25,0.342,0.056,0.026,0.082,0.088,-0.03,0.004,0.018,0.0,-0.024,-0.016,-0.066,-0.008,-0.014,0.03,0.004,0.038,-0.014,0.006,-0.088,0.078,0.038,-0.024,-0.05,-0.032,-0.074,5.948493200509723,5.841358176931414,-0.03031337439474502,3.0920733750693845,0.0
1.0,1.0,1.0,0.21,0.316,0.066,-0.164,-0.034,0.034,-0.168,-0.04,-0.036,-0.03,-0.004,0.026,0.074,-0.014,-0.032,0.036,0.014,0.002,-0.02,0.022,0.006,0.02,-0.002,-0.002,-0.012,0.02,0.032,5.146309501423949,3.2988949727089905,4.873550532807985,6.536236111734266,0.0
1.0,1.0,1.0,0.414,0.422,0.196,-0.016,0.01,-0.058,-0.208,-0.148,0.072,-0.14,-0.126,0.034,-0.002,-0.046,-0.036,0.082,0.012,-0.038,0.036,0.018,0.002,-0.004,0.008,-0.028,0.034,-0.034,-0.02,2.8971294423376617,2.9679525692946416,4.3657433816332025,5.200963303783968,0.0
