0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.342,0.396,0.134,-0.04,0.178,-0.026,-0.082,0.044,0.018,-0.064,-0.014,0.05,-0.05,0.048,-0.01,0.002,-0.02,-0.034,-0.072,0.028,0.004,0.034,-0.048,-0.014,0.016,-0.058,0.006,4.9131296615502364,4.348130994212887,1.5035927258053112,4.345091219734867,0.0
1.0,1.0,1.0,0.464,0.328,0.112,0.144,-0.292,-0.056,-0.04,-0.394,0.034,-0.042,-0.064,0.026,0.05,0.15,0.024,0.05,0.172,0.054,-0.01,-0.018,-0.044,-0.044,-0.04,0.008,0.044,-0.05,-0.006,1.8377403225910394,3.788614987001068,6.359815017755714,2.74414898344362,0.0
1.0,1.0,1.0,0.312,0.57,0.146,-0.114,0.026,0.036,-0.094,-0.232,0.042,0.002,-0.262,0.004,0.052,-0.162,-0.014,0.0,-0.066,0.002,0.004,0.046,0.006,-0.014,0.084,-0.01,0.048,0.062,0.026,1.736248925647986,4.1079487616076795,4.2226081647502145,5.814474239224712,0.0
1.0,1.0,1.0,0.272,0.358,0.094,-0.056,-0.24,0.052,-0.046,-0.296,0.062,0.004,-0.106,0.038,0.038,0.108,0.026,0.01,0.104,0.006,-0.012,0.048,0.012,0.038,-0.004,-0.018,0.034,0.014,0.048,2.177487239482689,5.193209957993069,5.885171845408098,5.128206728334644,0.0
1.0,1.0,1.0,0.126,0.482,0.036,-0.048,0.256,0.052,-0.008,0.044,-0.008,-0.028,0.05,0.026,-0.024,0.054,-0.022,0.03,0.012,-0.022,0.056,-0.048,-0.016,-0.016,-0.004,-0.064,-0.054,0.014,-0.02,3.880149126455215,6.860549810350853,2.114109118284878,7.33910048084646,0.0
1.0,1.0,1.0,0.2,0.434,0.066,-0.266,0.086,-0.06,-0.196,-0.072,0.032,0.036,-0.118,-0.014,0.07,-0.154,0.036,-0.002,-0.006,0.032,-0.032,0.044,0.008,-0.008,0.016,-0.008,-0.032,0.052,-0.024,2.981685940568504,2.85646530367943,3.9840322885552713,7.098173282004115,0.0
1.0,1.0,1.0,0.226,0.24,0.062,-0.028,-0.078,0.006,-0.018,-0.028,0.014,-0.04,-0.062,-0.026,0.048,-0.016,-0.024,0.026,-0.03,-0.02,-0.014,0.016,-0.03,0.062,0.05,-0.024,0.052,0.038,0.066,5.590827619689993,5.153395354853371,5.556355116638245,5.272187963881626,0.0
1.0,1.0,1.0,0.462,0.204,0.05,-0.42,-0.214,0.146,-0.672,-0.17,0.126,-0.332,-0.044,0.06,0.224,0.038,0.014,0.412,-0.018,0.002,0.204,-0.032,0.036,-0.12,-0.018,0.014,-0.266,0.052,0.006,3.5987049793915196,0.7994072438607156,6.635772806447405,5.94855298259896,0.0
1.0,1.0,1.0,0.526,0.17,0.104,0.034,-0.17,-0.02,-0.282,-0.06,0.034,-0.21,-0.036,0.018,-0.108,0.028,-0.008,-0.004,-0.006,-0.038,0.13,0.04,0.01,0.074,-0.026,0.024,0.114,0.006,0.004,4.1133183742378,1.8523156203694646,6.645075723833874,4.467462792056069,0.0
1.0,1.0,1.0,0.814,0.436,0.342,0.252,-0.262,-0.062,-0.426,-0.354,0.152,-0.904,-0.166,0.154,-0.982,0.04,-0.038,-0.706,0.094,-0.092,-0.096,0.148,-0.02,0.56,0.002,0.006,0.95,-0.088,-0.094,1.7517128928281762,-0.251331952298929,5.714031211264066,3.7884567802319085,0.0
1.0,1.0,1.0,0.124,0.522,0.086,-0.078,0.18,-0.006,0.002,-0.008,0.022,0.006,-0.034,-0.024,0.002,-0.08,-0.01,-0.006,-0.056,-0.006,0.016,-0.052,0.048,0.028,-0.054,0.01,-0.02,0.036,-0.028,3.290433094785833,7.639795693201583,2.7156126027473686,6.682172238993339,0.0
