0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.336,0.214,0.038,0.13,-0.162,0.076,-0.01,-0.182,-0.004,-0.016,-0.026,-0.006,0.032,0.042,0.022,0.0,0.006,-0.01,-0.018,0.058,-0.008,0.012,-0.044,-0.012,0.002,-0.084,0.026,3.0404992261187003,6.300140524031609,6.500225034465114,1.1171942747548487,0.0
1.0,1.0,1.0,0.35,0.146,0.072,0.016,-0.124,0.008,-0.08,-0.096,-0.06,-0.02,-0.016,0.02,-0.072,-0.028,0.02,-0.008,0.04,-0.068,-0.044,0.008,-0.04,0.018,-0.004,0.01,-0.03,-0.012,-0.006,4.208942871106433,3.8040587825013934,6.830921898966929,4.432044956862426,0.0
1.0,1.0,1.0,0.296,0.45,0.134,0.082,0.104,-0.03,-0.026,-0.072,0.042,0.006,-0.052,0.086,0.026,-0.052,0.002,0.004,0.018,-0.038,0.0,0.058,0.014,-0.02,-0.042,0.03,-0.038,0.038,0.068,3.62533600947882,5.869845664974058,3.487186425009306,3.4174631394970865,0.0
1.0,1.0,1.0,-0.02,0.358,-0.026,-0.198,0.092,-0.022,0.02,-0.118,0.006,0.058,-0.078,-0.064,0.0,-0.086,-0.002,0.012,0.026,-0.022,-0.016,0.016,-0.016,0.028,0.002,-0.046,-0.01,-0.04,-0.006,3.3594062537799223,4.223407814314854,3.7047720387888163,9.3493733252281,0.0
1.0,1.0,1.0,0.724,0.618,0.414,0.374,-0.062,0.032,0.104,-0.642,-0.05,-0.04,-0.7,0.016,-0.088,-0.356,0.004,-0.172,0.248,-0.004,-0.136,0.544,-0.124,-0.124,0.44,-0.044,-0.104,0.084,0.012,0.5121579960555458,1.5753349710444766,4.891139201664565,2.387474691532116,0.0
1.0,1.0,1.0,0.348,0.122,0.058,0.046,-0.31,0.028,-0.086,-0.102,-0.028,-0.098,0.094,0.02,-0.054,0.044,0.006,0.014,-0.026,-0.024,-0.05,-0.048,0.026,0.014,-0.02,0.002,-0.016,0.002,0.006,3.3310506234072994,3.9214509235328006,7.691014402621555,3.934977091094659,0.0
1.0,1.0,1.0,0.396,0.218,0.074,0.05,-0.374,-0.016,-0.058,-0.294,-0.02,-0.018,-0.006,-0.052,-0.01,0.072,0.03,-0.05,0.038,-0.052,-0.07,0.01,0.024,0.046,-0.03,-0.052,0.014,0.026,-0.008,2.4646600880933396,4.6403527381812255,6.873448724825685,3.6140499777826705,0.0
1.0,1.0,1.0,0.252,0.184,0.1,0.012,-0.084,0.036,-0.098,-0.076,0.01,-0.042,-0.002,0.024,0.006,0.054,-0.028,-0.002,0.058,0.0,0.048,-0.002,0.026,0.002,-0.02,-0.022,0.024,-0.018,-0.006,5.658192546516093,5.2142413771366725,6.307767113924489,4.617638166184106,0.0
1.0,1.0,1.0,0.804,0.024,0.024,0.232,-0.262,-0.046,-0.384,0.042,0.014,-0.86,0.082,-0.078,-0.988,0.028,-0.032,-0.718,0.062,-0.08,-0.142,-0.03,0.056,0.466,-0.024,0.006,0.884,-0.014,-0.014,4.045333295728292,-1.0552255570155404,8.688772303943107,3.737686023088794,0.0
1.0,1.0,1.0,0.23,0.404,0.078,-0.074,0.056,-0.006,0.0,-0.116,0.004,-0.07,-0.078,0.004,0.02,-0.058,-0.046,-0.012,-0.012,-0.028,0.006,0.006,0.012,-0.042,0.044,-0.01,-0.06,0.008,-0.036,3.3892386814066127,6.466029242033603,4.26849880471048,4.599095557170956,0.0
1.0,1.0,1.0,0.514,0.4,0.234,0.128,-0.026,-0.026,-0.056,-0.172,0.016,-0.054,-0.144,0.018,-0.086,-0.06,0.026,0.002,-0.022,0.02,0.064,0.034,0.042,0.04,-0.032,0.028,-0.058,0.026,0.068,2.76878243423143,3.33762759134428,4.329950341665719,2.6987398360310935,0.0
1.0,1.0,1.0,0.694,0.324,0.234,0.42,-0.106,-0.002,0.306,-0.162,-0.04,0.152,-0.006,-0.054,0.098,0.044,-0.03,0.03,0.014,0.012,0.034,-0.026,-0.028,0.002,-0.034,0.012,0.02,0.03,0.034,3.1905328605543173,2.369573797794584,5.536638305913085,0.7922871516106067,0.0
1.0,1.0,1.0,0.488,0.598,0.266,-0.32,0.056,0.012,-0.748,-0.286,0.218,-0.5,-0.36,0.208,0.076,-0.238,-0.002,0.552,-0.078,-0.07,0.394,0.094,0.052,-0.01,0.11,0.0,-0.336,0.16,-0.108,1.4618376082093913,0.5107959389008334,4.228666749594779,5.6289004956635305,0.0
1.0,1.0,1.0,0.512,0.4,0.204,0.208,-0.064,0.016,0.186,-0.196,-0.03,0.106,-0.124,-0.034,0.026,-0.054,0.04,0.074,0.038,0.024,0.026,0.094,0.004,0.002,0.022,0.024,0.048,0.002,-0.014,2.8428753783307084,3.784637685286141,4.837204271506765,0.7354654107533349,0.0
1.0,1.0,1.0,0.934,0.322,0.288,0.68,-0.026,-0.066,0.274,-0.096,-0.01,-0.152,-0.048,0.032,-0.596,0.032,-0.012,-0.852,0.004,0.016,-0.998,-0.028,0.026,-0.958,0.042,-0.052,-0.712,-0.002,-0.014,3.9212644416877875,-2.9108927451589572,5.1543461061211575,2.4815166957090384,0.0
1.0,1.0,1.0,0.786,0.848,0.67,0.232,0.46,0.14,-0.452,0.02,-0.008,-0.94,-0.506,0.474,-0.954,-0.884,0.842,-0.504,-1.0,0.504,0.128,-0.886,-0.114,0.73,-0.55,-0.408,0.996,0.02,0.02,-0.03642459297052625,-0.18934847478139671,2.9994810118774735,3.9545353517611863,0.0
1.0,1.0,1.0,0.536,0.352,0.24,-0.168,0.13,0.002,-0.502,-0.01,0.016,-0.366,0.016,-0.038,-0.042,0.064,0.066,0.192,-0.046,0.006,0.202,-0.024,-0.002,0.108,-0.028,-0.008,-0.04,-0.018,0.062,5.368910315637857,1.186673688279141,2.38673021456442,5.202472266204769,0.0
1.0,1.0,1.0,0.056,0.122,-0.014,-0.28,-0.218,0.078,-0.066,0.028,0.018,0.066,0.03,-0.004,-0.02,0.074,0.054,-0.04,-0.006,-0.006,-0.03,0.006,-0.024,0.01,-0.004,0.022,0.012,0.06,-0.02,4.182158434391024,3.2560781213738963,8.13111976872091,8.703962292267025,0.0
1.0,1.0,1.0,0.052,0.544,0.052,-1.0,0.068,-0.068,0.046,-0.138,0.0,1.0,-0.122,-0.122,-0.04,-0.102,-0.03,-1.0,-0.082,0.082,0.042,-0.054,-0.004,1.0,0.008,0.008,-0.066,0.038,0.016,2.669428322303947,-0.4304487470589433,3.7801357571082086,9.025180395063463,0.0
1.0,1.0,1.0,0.694,0.52,0.346,0.028,-0.052,-0.008,-0.644,-0.326,0.206,-0.994,-0.274,0.272,-0.794,-0.096,0.082,-0.102,0.056,-0.062,0.55,0.108,0.054,0.966,0.084,0.074,0.88,-0.03,-0.042,1.9051345532217845,-0.7626940878182493,4.841535527131252,4.305270206187108,0.0
1.0,1.0,1.0,0.46,0.392,0.212,-0.14,0.036,0.02,-0.53,0.036,0.026,-0.39,-0.03,0.056,-0.084,0.054,-0.014,0.22,0.042,-0.002,0.256,-0.032,-0.028,0.066,-0.018,-0.076,-0.082,-0.016,-0.01,4.326017453620415,1.1528706654294822,3.8985087278705643,5.1720525030540685,0.0
1.0,1.0,1.0,0.302,0.074,0.008,-0.028,-0.03,-0.014,0.0,-0.024,0.016,-0.058,-0.006,-0.012,-0.028,-0.018,0.054,-0.022,0.094,-0.016,0.03,0.008,-0.042,0.0,0.022,-0.074,0.006,0.03,0.0,6.99117208038888,4.835031131771763,6.6807438491616,4.476693055259436,0.0
1.0,1.0,1.0,0.418,0.308,0.134,0.068,0.036,-0.012,-0.104,-0.154,-0.01,-0.04,-0.032,-0.012,-0.04,0.008,-0.012,-0.008,0.066,0.05,0.04,0.056,-0.036,-0.012,0.01,-0.022,-0.036,-0.058,0.022,4.759436117146367,4.487712437170541,4.799690684100575,3.7188158974950296,0.0
1.0,1.0,1.0,0.254,0.33,0.148,-0.076,-0.44,0.016,-0.08,-0.488,0.048,-0.072,-0.08,0.016,-0.02,0.302,-0.042,0.006,0.29,0.032,0.014,-0.06,0.042,0.022,-0.184,-0.062,0.014,-0.046,-0.028,1.2665688794878627,4.373994057125285,6.592079669179819,5.650912438781657,0.0
1.0,1.0,1.0,0.212,0.342,0.07,-0.048,0.054,0.03,-0.078,-0.074,-0.008,-0.006,-0.024,0.006,-0.006,-0.022,0.0,-0.06,0.012,0.024,-0.008,0.03,0.006,0.02,0.034,0.05,-0.01,-0.01,-0.004,4.1982425900657105,5.440396624700259,4.028452895916269,5.360862323200273,0.0
1.0,1.0,1.0,0.332,0.256,0.096,-0.546,-0.132,0.062,-0.696,-0.166,0.114,-0.056,-0.076,0.028,0.546,0.03,-0.004,0.364,0.038,0.026,-0.222,0.04,0.05,-0.396,-0.01,-0.002,-0.192,0.0,0.04,3.8650131193877124,0.6068302484967654,5.901250766027456,6.742662413954843,0.0
