0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.354,0.31,0.112,0.05,0.09,0.048,-0.032,-0.014,-0.002,-0.02,-0.064,-0.008,-0.02,0.046,-0.006,-0.002,-0.014,0.032,-0.018,-0.016,-0.042,0.03,-0.076,0.018,-0.024,-0.002,-0.03,4.47729678008986,4.826172353546468,4.06469707418471,3.4946600374504238,0.0
1.0,1.0,1.0,0.276,-0.024,0.008,0.022,-0.162,-0.032,-0.07,0.076,-0.014,-0.046,0.014,-0.008,0.002,0.0,0.026,0.068,-0.02,-0.016,-0.03,-0.014,0.02,0.006,0.05,-0.004,-0.032,0.018,0.006,5.847654002245218,5.603739590995199,10.487481132696256,4.447300683260941,0.0
1.0,1.0,1.0,0.32,0.756,0.248,0.056,0.394,0.054,0.048,0.076,-0.044,0.03,-0.246,-0.036,0.02,-0.296,0.02,-0.02,-0.294,0.03,0.004,-0.288,0.004,0.006,-0.16,0.042,0.036,-0.058,-0.014,1.0486189116365017,6.6255517686975445,2.821556108059838,1.057059069853358,0.0
1.0,1.0,1.0,0.348,0.33,0.122,0.088,-0.034,0.038,0.05,-0.014,0.06,0.028,-0.022,-0.042,-0.002,-0.014,0.02,0.004,0.01,-0.022,0.002,-0.016,-0.05,0.016,-0.032,-0.008,0.026,-0.012,0.034,4.7153274629727715,5.9973215786677025,4.0179551746165405,1.7971588632825268,0.0
1.0,1.0,1.0,0.096,0.058,0.038,-0.088,-0.8,0.084,-0.024,-0.222,-0.034,-0.016,0.556,-0.052,-0.008,0.286,0.022,0.014,-0.428,-0.07,0.044,-0.336,-0.012,0.01,0.294,0.02,0.012,0.384,0.0,0.6301140582780222,6.596081319782938,8.37567012196473,7.938045465383869,0.0
1.0,1.0,1.0,0.538,0.256,0.154,0.194,-0.152,0.022,-0.014,-0.204,-0.066,-0.058,-0.048,0.042,-0.07,0.038,-0.016,0.014,0.008,0.03,0.004,-0.054,0.002,-0.014,-0.04,-0.022,-0.026,-0.024,-0.01,3.709753056723831,2.9371414846937958,6.127653515223859,2.5675902998371285,0.0
1.0,1.0,1.0,0.448,0.544,0.244,0.17,0.28,0.022,0.008,0.12,0.008,-0.014,0.05,-0.004,0.004,0.006,0.026,-0.092,0.0,-0.024,-0.006,0.018,0.0,0.022,0.026,0.0,0.09,-0.01,-0.052,2.959090130325606,3.8540371252876877,1.6418795830330155,2.7999993679881703,0.0
1.0,1.0,1.0,0.314,0.148,0.05,0.03,-0.004,-0.046,0.018,-0.002,-0.032,-0.058,0.04,0.05,0.002,0.06,-0.046,-0.018,-0.038,0.02,0.084,-0.044,0.016,0.014,-0.024,-0.038,-0.01,-0.024,-0.01,7.208914880126332,7.621265061644257,4.667630095668055,1.8910436437642444,0.0
1.0,1.0,1.0,0.422,0.348,0.17,0.094,-0.062,-0.032,0.004,-0.064,-0.016,-0.076,-0.052,-0.028,-0.028,-0.014,-0.002,-0.012,0.05,-0.014,0.022,0.062,0.016,0.028,-0.038,0.002,0.034,0.058,0.004,4.416010062808764,3.9668012429568655,4.550556998581493,3.5743540583003925,0.0
1.0,1.0,1.0,0.38,0.63,0.238,0.016,0.398,0.026,-0.17,0.264,-0.062,-0.156,0.176,-0.012,-0.026,0.092,-0.01,0.05,0.062,-0.068,0.042,0.004,0.018,0.004,0.028,0.02,-0.028,-0.03,0.018,2.7648565361012323,3.2856722194054724,0.47795697775088986,4.878904058155536,0.0
