0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.18751875187518752,-0.0633063306330633,-0.0051005100510051,0.0195019501950195,-0.0051005100510051,-0.00030003000300030005,0.0093009300930093,0.022502250225022502,0.0039003900390039005,5.210580686972982,2.772078730301193,7.582484444543026,4.429597183980966,0.4415011628323384
1.0,1.0,1.0,-0.10171017101710171,-0.018901890189018902,0.0087008700870087,-0.014101410141014101,-0.021902190219021903,-0.009900990099009901,0.005700570057005701,0.006900690069006901,-0.006900690069006901,4.913842616818127,2.561331433262872,2.6844600264232232,2.765918050233687,4.253408457529683
1.0,1.0,1.0,0.0063006300630063005,0.09090909090909091,0.010501050105010502,0.0315031503150315,-0.0015001500150015,-0.0051005100510051,0.0009000900090009,0.008100810081008101,-0.005700570057005701,3.117290440487223,8.05412712315075,9.55312432916081,5.7098248678961045,2.693217065509378
1.0,1.0,1.0,0.020102010201020103,-0.0813081308130813,0.030903090309030903,0.059705970597059704,-0.8595859585958596,-0.062106210621062106,-0.018901890189018902,0.20432043204320433,-0.006900690069006901,0.05162691465036895,3.039073446620013,2.764787727505696,6.008264102110075,5.694946476852398
1.0,1.0,1.0,-0.0699069906990699,-0.39813981398139814,0.06450645064506451,0.005700570057005701,0.0351035103510351,-0.0015001500150015,-0.0027002700270027003,-0.34293429342934295,0.0177017701770177,0.35599652091640666,4.483462792930378,6.021099595971276,5.412308502719247,3.0726858177095977
1.0,1.0,1.0,-0.3009300930093009,-0.1569156915691569,0.37593759375937597,-0.5973597359735974,-0.06090609060906091,0.0891089108910891,0.4389438943894389,0.020102010201020103,0.013501350135013501,1.6060713075211843,-1.3250020636595137,4.560757911573668,4.282440502773741,4.751022772716537
1.0,1.0,1.0,0.0159015901590159,-0.40054005400540055,0.009900990099009901,-0.0063006300630063005,-0.46054605460546055,0.0009000900090009,-0.0159015901590159,0.3951395139513951,0.023702370237023703,-0.11514404262089073,7.416251885181931,7.426298611957266,7.002653169806369,7.664879261264906
1.0,1.0,1.0,-0.07170717071707171,-0.0387038703870387,-0.0027002700270027003,0.020102010201020103,-0.017101710171017102,0.018301830183018303,-0.025502550255025503,-0.0063006300630063005,0.030303030303030304,3.1548762915913033,3.2620625136926984,2.178810399920559,6.856340041619443,3.3155170092448616
1.0,1.0,1.0,-0.036303630363036306,-0.0483048304830483,0.024302430243024302,-0.007500750075007501,0.25292529252925294,0.009900990099009901,-0.0027002700270027003,-0.2157215721572157,-0.021902190219021903,0.727085571084348,3.229581527904079,6.364892842408445,2.2017656024571393,4.321372733846856
1.0,1.0,1.0,-0.0015001500150015,0.011701170117011701,0.029102910291029103,-0.005700570057005701,-0.0999099909990999,-0.0087008700870087,0.020702070207020702,-0.0195019501950195,-0.0039003900390039005,2.350825279217144,4.908805423303391,3.2846592054022787,3.714331434071247,6.130168428001139
1.0,1.0,1.0,-0.29612961296129614,0.6081608160816082,-0.47434743474347435,0.11371137113711371,-0.21212121212121213,-0.48874887488748875,-0.9171917191719172,-0.9051905190519052,0.9867986798679867,-0.6594552401334859,-0.2850992049887724,10.172607723927511,6.283416088657658,3.467345104375126
1.0,1.0,1.0,-0.0279027902790279,-0.0411041104110411,0.0039003900390039005,-0.005700570057005701,-0.020702070207020702,0.024902490249024904,0.00030003000300030005,-0.0279027902790279,-0.030303030303030304,3.2488189061080757,5.361890214539825,7.730997820059484,7.413894448669957,7.136617064692129
1.0,1.0,1.0,0.1353135313531353,0.07590759075907591,0.024902490249024904,-0.4677467746774677,-0.0393039303930393,0.06030603060306031,-0.0177017701770177,0.023702370237023703,0.010501050105010502,2.3807992636566446,-1.424453946454654,1.2465671828751836,8.380481866415135,1.9610024476613859
1.0,1.0,1.0,-0.07890789078907891,-0.34173417341734175,0.0639063906390639,-0.0387038703870387,0.05730573057305731,-0.012901290129012902,-0.007500750075007501,0.0165016501650165,0.00030003000300030005,1.6856692267190578,3.436118972427791,4.286201938355589,3.186705439620586,2.5932830738876977
1.0,1.0,1.0,-0.057905790579057904,-0.024302430243024302,-0.011701170117011701,0.0177017701770177,-0.0165016501650165,-0.05310531053105311,0.0087008700870087,-0.004500450045004501,-0.020102010201020103,4.202803251381344,6.955706644746657,6.449579831656991,4.757023244567471,4.9097856267265145
1.0,1.0,1.0,0.023702370237023703,-0.012301230123012302,0.0051005100510051,0.034503450345034506,-0.010501050105010502,0.0165016501650165,0.009900990099009901,-0.004500450045004501,-0.005700570057005701,4.927280192526235,3.2908177497167235,3.2559750004957904,7.559935812459569,4.045450167854618
1.0,1.0,1.0,-0.1185118511851185,-0.1641164116411641,0.1323132313231323,-0.0963096309630963,0.5079507950795079,-0.0927092709270927,0.0111011101110111,-0.8427842784278428,-0.009900990099009901,-0.6559501033076551,1.9439361748076256,1.4954943159442728,2.9913738291407608,4.550261390121781
1.0,1.0,1.0,0.025502550255025503,0.041704170417041705,0.0333033303330333,-0.014701470147014702,0.18151815181518152,0.022502250225022502,-0.032703270327032706,0.0369036903690369,-0.0021002100210021,1.507616351286868,5.031909203116608,5.333746042288919,4.339384808752086,6.618466843535694
1.0,1.0,1.0,0.025502550255025503,-0.0297029702970297,-0.0009000900090009,-0.005700570057005701,-0.0021002100210021,0.0027002700270027003,-0.0393039303930393,-0.005700570057005701,-0.0009000900090009,6.716310342438968,6.8798661892218265,5.616109893631675,5.0351614227789305,9.901518389129755
1.0,1.0,1.0,-0.07590759075907591,-0.0519051905190519,-0.0021002100210021,-0.009900990099009901,0.011701170117011701,-0.0009000900090009,0.0231023102310231,-0.032103210321032104,-0.0009000900090009,3.3441534475398265,4.084461064934989,2.5330641655578803,4.0175811253922,2.7643512587748647
1.0,1.0,1.0,-0.08010801080108011,-0.012301230123012302,0.0153015301530153,0.0633063306330633,0.27992799279927993,0.0885088508850885,-0.04770477047704771,-0.0555055505550555,-0.0159015901590159,0.6651348665499852,1.7733193529462736,5.124895528079702,5.51288704045865,7.91870767366515
1.0,1.0,1.0,-0.061506150615061504,0.05730573057305731,0.0051005100510051,0.028502850285028504,-0.0039003900390039005,-0.0021002100210021,0.0153015301530153,-0.0231023102310231,0.0087008700870087,4.670865402725596,4.247473327369154,11.68962185846756,3.226430035865824,2.394714249725348
1.0,1.0,1.0,0.0033003300330033004,-0.31293129312931295,0.008100810081008101,-0.0195019501950195,-0.20372037203720372,-0.0063006300630063005,-0.0165016501650165,-0.30753075307530753,-0.00030003000300030005,-0.6047988107160327,3.225061364012375,2.5245370608804927,7.8168997919982335,2.4532429923512615
