0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.416,0.392,0.168,-0.096,-0.112,-0.072,6.355409551282211,4.912289737992922,6.234016134234373,7.42421651971007,4.2603343339974735
0.588,0.628,0.368,0.028,-0.148,-0.08,3.829084123889225,5.643425528706629,3.9101131016704858,1.6023549751765724,3.2159718016738283
0.484,0.412,0.264,-0.152,-0.152,0.04,2.6193200239057637,3.889154759832849,7.910180569438026,6.411124111370603,4.938089177935406
0.384,0.4,0.192,0.012,-0.064,0.06,7.713868486887392,9.098477454160399,5.756461343642192,2.464238244742516,2.987864548989467
0.732,0.672,0.54,0.192,-0.132,-0.052,2.3790168653265686,2.8703108404180733,2.842919356769058,-0.9729966949681339,5.349639022771137
0.308,0.536,0.132,-0.096,-0.04,-0.008,4.893096916101155,6.855324800587137,2.6215880278573227,6.460461590968307,5.6317871814870895
0.268,0.66,0.208,-0.024,-0.052,-0.052,2.5177055399909354,8.868246750925655,2.2958123701701054,7.252519359407806,5.763162102750468
0.64,0.488,0.368,-0.052,-0.016,0.02,8.253843224657597,3.649722192201569,4.318961825239859,4.629532252076214,2.3424060406361984
0.416,0.436,0.188,-0.02,-0.072,0.092,3.413079276267078,6.048273439868607,5.035249652306302,4.747512969918751,7.338382740602315
0.452,0.54,0.28,-0.28,-0.092,0.036,5.09819114283627,4.802330014127238,5.309043823904153,8.008557860588667,2.424381761316244
0.408,0.14,0.036,0.016,0.004,0.06,4.847184295315394,2.151722173328675,8.151320425278291,7.211955338381339,7.935290274203707
0.464,0.424,0.24,-0.096,-0.032,0.048,6.141274843008482,4.08905749445077,4.347554948823868,4.592424962701923,5.2258316404533085
0.432,0.468,0.196,-0.048,0.004,0.02,6.192329829217212,9.270009847523294,4.198182193845326,3.968768786348398,2.005355496490703
0.612,0.312,0.204,0.008,0.068,0.036,8.293710352756538,3.808921846834734,6.501537324063531,2.0596936161923782,4.65720473133392
0.464,0.492,0.228,-0.036,-0.008,0.004,7.067270774699198,6.512654016632503,4.726294672689592,4.299123697369512,1.0767888481457581
0.404,0.44,0.244,-0.044,-0.064,0.1,3.337870457372868,5.967606699859678,6.110890455497963,3.08807396851393,8.462164256014862
0.468,0.32,0.204,0.036,0.06,0.072,5.625712787541037,3.464159726618153,6.61743505547145,5.054105354340357,7.931471486954521
0.392,0.332,0.068,0.008,-0.056,0.04,6.8038390490638285,7.448512656733476,3.8370937050949085,4.0886385225791475,5.6941747055874705
0.484,0.236,0.08,-0.108,-0.04,-0.068,8.882615746538498,6.1212899519951165,7.9285520694108955,4.596001150341298,3.2510119685605403
0.64,0.508,0.332,-0.284,0.032,-0.012,6.144645821430522,2.6040013598411202,2.5490190164953814,6.314862293937349,3.103608487280087
0.456,0.308,0.164,-0.128,-0.052,-0.02,8.219646189195913,5.980335444475837,7.301163874739297,4.106065477543799,5.608256400772497
0.7,0.652,0.416,-0.096,0.232,0.0,4.279386258108032,3.1651806658083057,-0.03921027653238518,4.805981559005218,1.026616341314404
0.436,0.632,0.252,-0.112,0.044,-0.028,4.456876748155038,7.94855697959755,4.004077842420269,6.405637390725138,1.5940603628553376
0.524,0.476,0.248,0.06,-0.084,-0.016,4.97519819643067,6.590819808451233,5.044748633397153,3.1687862611484556,4.266389281261299
0.4,0.468,0.196,-0.096,-0.012,-0.012,5.732708779206896,6.378645709186564,1.5307878180630565,5.693744825669766,5.845746979025762
0.212,0.24,0.06,0.052,0.032,0.076,6.142797414944646,5.696164246117339,6.437024547824593,7.23329912583123,8.358440545197805
0.36,0.592,0.208,-0.012,-0.128,0.036,2.9934978073322362,6.557125181276783,4.011985689968766,5.383450730646025,6.267020121306334
0.384,0.268,0.148,-0.076,0.048,0.044,6.69364411099923,3.8952672771648014,6.696153641608014,5.335106980942235,8.250913068078175
0.548,0.572,0.264,0.056,-0.024,0.0,4.134689270604125,5.728222700612755,3.8759872712847643,1.7074579171994997,4.159143096898611
0.328,0.4,0.136,-0.008,-0.112,0.016,3.805301630048879,8.274559794469983,6.112179745106144,5.058369350011808,6.157203040972111
0.584,0.528,0.288,-0.048,0.02,0.092,5.8465115706605,4.87509249075181,3.903113306385556,4.046853254507267,0.24608451530350894
0.636,0.516,0.296,-0.26,-0.252,0.056,3.636304558225409,2.7148933132655255,5.868487309353318,5.201447819904854,3.9304023866056745
0.492,0.42,0.216,-0.08,-0.08,0.008,3.9270152936274627,5.081506886709948,6.629268957063921,4.391608669285704,5.120779889221743
0.372,0.424,0.156,-0.092,-0.108,-0.008,5.337687777490674,7.709053040735302,5.995511443813371,5.837120753720682,4.494664272086547
0.412,0.416,0.188,-0.016,-0.052,0.036,5.601413372312659,3.8948807525493105,4.984419448932475,5.232930297608096,7.584903630267359
0.344,0.416,0.12,-0.14,-0.1,0.016,3.494302728176444,2.9386951929070313,6.425446326011248,7.74559019513417,6.547778976603207
0.66,0.464,0.308,-0.2,-0.144,0.024,6.322662845885812,2.420349484170403,5.079103746631232,3.6168383710998526,4.527456228608158
0.476,0.512,0.284,-0.06,-0.048,-0.116,4.41442928342195,4.75677340710201,4.5440988794574135,4.233552350615006,7.01564708823984
0.464,0.54,0.332,-0.04,-0.004,0.076,4.602367819174013,5.736283883507244,2.37460265840185,2.939896168035387,7.107803571116387
0.724,0.516,0.408,0.136,-0.124,0.004,4.820155942269367,3.5395220929291638,5.241528808546943,1.6001439323165703,3.273208294095686
