0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.616,0.576,0.344,-0.356,0.092,-0.112,6.121556103616925,2.1175549167984027,1.2354926695401725,5.305424630808633,3.565987938367649
0.384,0.584,0.328,-0.06,-0.08,-0.02,3.742893029886351,4.695607926051099,2.794870130511357,4.197343363516374,5.978120035944152
0.392,0.524,0.212,-0.168,0.004,-0.068,5.977726261336199,5.428815225743009,5.276159796841889,8.01455609871151,2.523584921828958
0.38,0.668,0.272,-0.048,-0.092,0.012,2.384619461134517,7.525607290871368,3.9138622187313246,5.527345600679903,4.4798659370646305
0.592,0.688,0.424,-0.044,-0.14,0.0,2.740201968967043,4.816907885414289,4.643933882115822,2.961051603915701,2.5086034474476415
0.568,0.452,0.292,-0.052,-0.068,-0.008,3.1189173359547366,6.60160277530003,7.363551972295454,0.45847319593639124,5.64640367030339
0.48,0.336,0.16,-0.216,-0.064,0.008,7.127499050269263,4.248963118947704,6.952647122246392,6.011733416082635,3.980564121985335
0.58,0.32,0.204,0.052,-0.1,0.024,7.569524480220837,5.019673662020942,6.859633749717541,0.6296381141288716,3.2603233093028363
0.372,0.308,0.104,-0.08,-0.04,0.08,7.653760325410309,5.928566215684921,5.740584644862225,5.381703040081853,4.5140065343527525
0.256,0.536,0.168,-0.004,-0.152,-0.028,3.609666153414542,7.427395767685459,3.939534828722276,4.658223120941001,7.35478916197166
0.512,0.536,0.264,-0.14,-0.092,-0.056,6.054776805218706,4.755390249409684,3.7990518518995504,4.399002335413903,5.368904015421375
0.336,0.572,0.18,0.012,-0.084,0.08,1.3059493786337786,6.144751003011896,5.7295912622630665,4.550069236711319,7.924248041784143
0.356,0.544,0.244,-0.108,-0.072,0.14,1.9731897339404236,3.755503320660237,5.884644297195261,6.582646689029543,7.630195125415941
0.416,0.688,0.336,-0.148,-0.04,-0.044,2.8792132204819687,5.613778686329394,1.814136587503861,5.465006354937612,5.73438612334892
0.776,0.32,0.272,0.292,-0.056,-0.06,5.935803619239594,3.348311973356749,9.088027327141699,1.928840636871938,-0.008969723408680963
0.456,0.308,0.084,-0.112,0.004,-0.028,7.787254162118957,5.635539952186481,6.508989348823459,4.6376875940470175,4.726155504717058
0.188,0.42,0.032,-0.008,-0.092,0.028,4.611473046451814,6.447065585642918,3.5767720656023645,9.784632441066929,7.757213413122727
0.392,0.408,0.12,-0.28,-0.26,0.108,3.0556444335658277,3.61097984559291,9.520353993166797,7.567865048831903,2.551680231442216
0.476,0.46,0.208,-0.12,-0.076,0.036,5.212342392594175,4.597933479762586,7.764523625012677,5.379789648362967,4.548933172084585
0.568,0.384,0.264,-0.076,-0.06,-0.048,4.971224681033774,4.781387133103567,8.732188785474081,3.6504006762505172,5.431597783428581
0.396,0.508,0.24,-0.028,-0.12,-0.044,3.3625788059148793,8.892596065027666,4.84363778539809,5.359106870053653,7.225698692873504
0.28,0.364,0.108,-0.06,-0.192,-0.052,1.617785998128768,7.49951594329676,8.693058283403204,6.856744533263857,5.954345635019296
0.448,0.464,0.24,0.108,-0.148,-0.104,5.835309672839706,8.17975440432702,5.510383711972749,2.733759310801315,3.0355170444236865
0.548,0.452,0.24,0.012,-0.144,0.004,4.219457949220759,5.875372864057634,6.370972979771618,2.971576115454314,3.2335913714930635
0.464,0.644,0.292,-0.008,-0.24,0.0,3.5403743221641832,5.054435448321312,6.7101946569271105,7.270156171096048,-0.7621574730847582
0.4,0.324,0.164,0.044,-0.008,-0.004,5.757070730202011,5.888865771963943,6.455945716989013,3.3507107202986437,7.92759493325185
0.308,0.52,0.132,-0.168,-0.112,0.072,3.883418358912217,3.4363155484476,4.862598590544655,9.241631911180363,4.170873609391898
0.296,0.668,0.196,-0.048,-0.292,0.084,2.0620200477845745,5.0958948759899005,5.004694150343196,8.066972968714932,4.1519182384360676
0.576,0.436,0.316,-0.656,-0.016,0.016,6.637234012252641,-0.35784447004055764,6.003744073998054,8.442699512862703,3.723582320776657
0.42,0.384,0.188,0.0,-0.012,-0.028,3.517678807648931,6.492577235541348,5.633177391643895,2.2494535807727694,8.544100566471965
0.684,0.736,0.556,-0.08,-0.092,0.092,1.233584334191332,2.1038227312305064,3.58933022436793,2.8146823489752326,4.044731370548632
0.524,0.14,0.04,-0.172,0.064,0.06,5.778440386955595,4.948024885412298,11.510010461446594,5.537333026067403,3.9118863130544264
0.232,0.544,0.264,0.012,-0.104,0.036,3.361023267101313,5.538987589889852,4.271059714036936,8.716989385694458,6.007767137453013
0.544,0.476,0.3,-0.148,-0.236,0.072,4.121109270751159,5.411844957433365,6.958069215892442,4.798534400787799,2.613769181950864
0.608,0.256,0.2,-0.076,-0.02,0.072,6.9730616019656875,3.510223400039587,8.270907233607396,3.3452181840181012,7.004737809725303
0.644,0.68,0.412,0.008,0.06,-0.06,3.6967235267688165,4.335140186452007,1.006645651144093,2.61531318721815,3.5620273664589943
0.492,0.616,0.316,0.088,-0.124,-0.02,2.601230502710532,6.3724180184019605,3.527732621473557,2.133957581807405,5.147713650122867
0.488,0.808,0.392,0.02,-0.044,-0.008,0.9818230995094934,5.912078941166837,3.0898649464840764,2.4861913866224166,3.632864914029817
0.58,0.368,0.196,-0.052,-0.052,0.104,6.810314452428066,3.6685397231984354,3.4452709576740794,3.485433300876343,5.888115126808337
0.484,0.252,0.152,-0.044,0.036,0.08,5.317205045649858,2.375189863140967,7.8644365845513295,6.384639793695796,7.320826165210302
0.356,0.356,0.152,-0.08,-0.112,0.0,7.058322446755446,7.261800980480338,6.139764366531706,7.79542400934195,4.907678710500001
0.552,0.584,0.344,-0.056,-0.04,0.016,4.8633534059119015,4.304415128435332,2.8505446410699746,3.843566399822466,6.001047593175881
0.304,0.304,0.128,-0.084,-0.056,0.012,3.8672756665512567,2.8881010781875895,9.383460965026474,8.942817550979203,5.832934823071764
0.3,0.312,0.076,-0.132,-0.116,0.048,6.71796861421173,6.594179831073564,6.162457045417172,4.938970524734344,4.19528352398778
0.66,0.48,0.34,-0.192,-0.144,0.08,4.925879694060122,2.869737095752387,5.837670845899081,4.250445488082947,4.142840836225558
