0_0,0_1,0_2,1_0,1_1,1_2,decay_0,decay_1,W_0,W_1,J_0
0.18,0.476,0.112,0.0,0.036,-0.004,4.265430761456408,3.4901321088123227,4.091468645479992,9.219837856040616,8.090471605169476
0.228,0.388,0.128,0.012,0.036,0.024,3.613995091454674,9.775875378176643,5.625253208003855,4.92577976960055,9.573865433184553
0.404,0.448,0.26,-0.096,-0.088,0.008,3.5154536139615056,4.272546298822498,5.172672779037582,5.995581912477237,7.346335130944372
0.26,0.38,0.112,0.012,0.02,0.096,5.840510302066247,4.39795769202438,3.6766656048996387,7.2495539554102155,8.420295012855734
0.452,0.536,0.236,-0.212,-0.212,0.048,3.4155757013388026,3.804398678418198,5.8911569736375995,8.343655197886546,2.710075691317718
0.364,0.624,0.284,-0.096,-0.316,0.052,2.2091674625415627,5.103797208334441,6.1769378351770605,6.162509816470083,2.464593671538794
0.408,0.656,0.296,-0.2,-0.192,0.176,1.3575351505626458,1.9180236010354337,3.5232333879647646,8.241729586777229,6.2783980775104515
0.456,0.452,0.204,-0.044,-0.012,-0.008,6.991918254917852,7.320332949847512,3.6249610410477056,5.770019320328381,2.6874251288464674
0.3,0.32,0.156,-0.068,-0.032,0.1,5.462335842763882,4.870790685485795,7.30729907584425,8.327524312453512,7.226009815312991
0.356,0.608,0.228,-0.048,-0.036,0.124,3.175417765819518,6.234509571386253,1.2950029788520716,5.411722909924576,5.020496265473563
0.456,0.224,0.152,0.0,0.076,0.052,3.8993436592544155,3.938466898453834,8.515165670333836,3.688496986270967,8.604202730725197
0.328,0.432,0.184,-0.024,-0.196,0.012,1.3110693051538016,9.653772997537853,8.170695476813309,3.152376788456273,6.583309078634504
0.488,0.532,0.26,-0.084,-0.02,0.048,4.409465436221876,6.373436387712147,3.7600122274739256,6.049389496161712,2.5907497850524144
0.596,0.556,0.344,-0.136,-0.004,-0.036,5.157760644501981,3.4250981190826746,2.972695963028321,3.2875577692764413,4.358341294589811
