0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.0536,0.032,0.1032,-0.0232,-0.0664,0.0112,0.1024,0.0,-0.0192,-0.0776,0.0224,-0.0088,2.916394319420614,1.5544335480706544,4.925958754723206,5.549088908943673,8.901697407039585
1.0,1.0,1.0,0.0064,-0.092,-0.02,-0.024,0.04,0.0224,0.0016,-0.0368,0.0144,-0.0048,0.0,-0.0016,2.442323941656434,4.4592935080677645,7.481793418835899,9.162523859087973,5.6956907531137535
1.0,1.0,1.0,-0.0856,-0.0632,0.0224,-0.016,-0.0064,-0.0208,-0.0264,0.024,-0.0024,0.0456,0.0504,0.0144,6.831129134510376,6.167925111419088,5.569262183219713,6.3130644215025224,4.922522451828829
1.0,1.0,1.0,-0.048,-0.008,-0.0064,0.0096,-0.024,-0.0112,-0.0216,-0.0136,-0.0176,-0.02,0.0032,-0.004,6.157324393426508,2.5393483132140213,4.9024870518800645,2.6457204408190225,7.062408568389046
1.0,1.0,1.0,-0.5136,0.1128,-0.0872,0.2288,-0.3688,-0.0984,-0.1008,-0.112,-0.0016,0.0128,0.044,0.0152,0.910601230868405,1.6338389745999424,2.7626174159299284,6.657637896707756,1.617640466624171
1.0,1.0,1.0,-0.176,-0.1552,0.0352,-0.0016,-0.164,0.0296,-0.0552,-0.3264,0.0216,0.0096,-0.64,-0.0048,-0.29318869472654097,2.690385731718,2.744306204926725,3.61655969360054,3.6125997111415007
1.0,1.0,1.0,-0.0024,-0.016,0.0904,0.0416,-0.1584,-0.04,0.0192,-0.0016,0.0192,-0.004,-0.0032,0.0024,2.3651810158202182,2.2805073410396437,4.27138806252448,1.5187748926611095,7.636587658415234
1.0,1.0,1.0,-0.1384,-0.1736,0.088,-0.0488,-0.0704,0.0136,-0.0104,0.0424,-0.0112,0.048,-0.0296,-0.0232,2.907696788964149,3.648049880713601,4.709321106616303,5.2651905311910445,5.170203107727922
1.0,1.0,1.0,-0.0488,-0.3696,0.0456,0.0096,-0.4328,0.0168,-0.0024,0.2856,-0.0208,-0.0016,0.0248,-0.0232,-0.8108094078475885,5.856961627651154,4.077604217402604,3.659963296112017,5.723437082224576
1.0,1.0,1.0,0.0096,-0.0304,-0.008,-0.0008,0.008,-0.0152,0.0024,0.0048,-0.028,-0.0104,0.0032,-0.0344,5.253921682288368,5.7129706920573256,4.68279584686831,1.454979901460188,5.656307043102391
1.0,1.0,1.0,-0.1152,-0.2328,0.108,0.0368,-0.0424,0.028,-0.0416,-0.0984,0.0232,0.0024,0.028,0.0464,1.6095547346102752,2.4794115736442173,3.7818077993455788,2.9852760445977724,5.197602856467679
1.0,1.0,1.0,-0.2048,-0.1264,0.184,-0.1144,0.0192,0.004,-0.112,-0.0872,-0.0008,0.0208,-0.008,0.024,1.7393430490709059,1.0178046692316376,7.286895602410736,6.7163814441508185,5.9080707389387195
1.0,1.0,1.0,0.1512,0.0616,-0.0208,-0.3344,0.0072,0.0296,-0.172,0.0168,-0.0384,0.0632,0.0024,-0.0016,7.33574921163595,1.0895358028690358,1.1061153944474054,2.8365504746977455,0.9753628134669308
1.0,1.0,1.0,-0.0688,-0.5992,0.108,0.0144,-0.044,-0.0232,0.0152,0.152,0.0088,-0.0128,0.2776,0.036,0.009438907121983142,3.875816950356941,7.106969710134117,3.326188911927982,4.169731131415426
1.0,1.0,1.0,-0.0064,-0.0424,0.2936,0.0384,-0.3624,-0.0088,0.0136,-0.0104,-0.0352,-0.212,0.12,-0.0456,1.210627863481401,1.0029394806533782,4.453735235138782,1.945406664726387,7.926004291039539
1.0,1.0,1.0,-0.0896,-0.0168,0.0504,-0.0464,-0.0256,-0.0496,-0.0544,0.0128,-0.0256,-0.0312,0.0216,0.0176,4.938552593398097,2.5853804793043746,2.41780577360374,2.851420031290958,6.304999340467824
1.0,1.0,1.0,-0.0488,-0.1328,0.0296,0.0,-0.0104,-0.02,-0.0136,0.04,0.0392,-0.0184,0.0056,-0.0048,4.466369216630381,3.853630517530424,5.724031811343642,8.875883629243482,4.21994200783483
1.0,1.0,1.0,0.0008,-0.0264,0.088,-0.0192,0.0192,0.0176,0.0176,0.0584,0.02,-0.0056,0.0304,-0.004,2.7741771212850987,3.559985614822568,6.361112074383061,5.955896267682122,7.742307291398582
1.0,1.0,1.0,-0.2592,-0.0992,0.0432,-0.0048,0.0192,0.0144,0.0344,0.0232,-0.0224,-0.012,0.0136,-0.0192,4.650555408458779,2.957490436692721,5.08599059470473,5.6686187268307435,4.060834735052167
1.0,1.0,1.0,0.004,-0.0544,0.0184,-0.0016,0.0632,-0.0216,0.0136,-0.0048,-0.0008,0.0056,-0.0496,-0.0264,3.4913081828618258,4.6887225540348,1.4601092680007293,1.435614696604195,5.703200081435219
1.0,1.0,1.0,-0.0184,-0.1024,0.0344,-0.0344,-0.0752,0.0376,0.004,0.0024,-0.0272,0.0216,0.016,-0.0008,2.9002707907364123,4.947765149945149,5.151384592866902,5.988765570363783,6.207200795833544
1.0,1.0,1.0,-0.176,-0.0568,0.1096,0.084,-0.0512,0.0248,-0.3568,0.024,0.0,-0.12,-0.0136,0.0072,3.6490793192619257,0.5516093218198184,4.733621718422832,2.5835677834713016,6.461733558781262
1.0,1.0,1.0,0.0896,0.0176,0.0288,-0.1144,0.0288,-0.0312,-0.0296,0.016,-0.0376,-0.0024,0.0248,0.0032,3.2188462169255327,2.358443086830032,6.946330388562048,2.9881222519706556,8.777758817030545
1.0,1.0,1.0,-0.0216,-0.0552,0.032,0.1616,-0.0224,-0.0304,-0.0432,-0.012,-0.0136,-0.0056,0.0064,-0.0216,3.3921900087234853,1.8342296457058649,3.266894440620168,8.316399097791516,6.215386185742909
1.0,1.0,1.0,0.0208,-0.0216,0.0104,0.0992,-0.0224,0.0032,-0.0336,-0.0376,-0.0152,0.0384,0.0152,-0.0072,3.03265180371353,2.7355324644057624,6.06216903703783,0.8631748665422405,7.649348450867652
1.0,1.0,1.0,-0.2008,-0.1608,0.0672,0.0776,0.0088,-0.0048,-0.2096,-0.0152,0.0088,0.032,-0.0168,0.0456,3.688833069104133,1.1310188999815531,4.6731627689990685,8.572705355189226,4.544620402511187
1.0,1.0,1.0,-0.1776,-0.2296,0.2136,-0.0784,-0.1608,0.0424,0.0424,0.1264,0.004,0.0064,-0.0112,0.0288,1.5067977848077616,1.914214606806621,4.938346608175171,6.275513415334379,5.464445418682874
1.0,1.0,1.0,-0.0768,-0.2112,0.1008,-0.0208,-0.3232,0.0272,0.0064,0.1736,0.0168,0.0168,0.0808,0.0,0.8966392364946221,4.4912098398651406,4.146371862338126,5.299052344497545,6.413495243943298
1.0,1.0,1.0,-0.1568,0.0024,0.0152,-0.0168,-0.0584,0.008,0.0048,0.0272,0.0048,-0.0168,-0.0224,-0.0008,3.1045242114915945,4.916141703868757,2.9964775823159555,5.8012500004863545,1.5813727879008637
1.0,1.0,1.0,-0.8168,-0.212,0.2512,0.3768,-0.0112,0.068,0.168,-0.012,0.0088,-0.6584,-0.0096,0.0184,3.5484382425979213,-0.36396029621579373,6.087884951570585,6.413923354142511,2.9631840723840286
1.0,1.0,1.0,-0.0504,0.032,0.0312,-0.256,-0.0056,0.0408,-0.0952,-0.0168,0.0144,-0.8472,-0.0208,0.0248,7.935796850074823,-0.17286532903751706,4.623954507229726,5.8334523374114315,7.70610083878176
1.0,1.0,1.0,-0.4184,-0.0416,0.092,-0.3928,0.056,-0.0056,0.5816,-0.0088,0.0096,-0.2512,0.0096,-0.0128,3.756783385377509,0.30081451792545355,3.22964228430307,5.800661929257539,5.354543725188742
1.0,1.0,1.0,-0.1304,-0.216,0.1752,0.0728,-0.224,-0.0088,-0.1704,0.1264,-0.0488,0.016,-0.0392,-0.0184,1.5467265942292698,1.5629382634619822,4.508780264102704,7.2539108474231115,6.008988282223665
1.0,1.0,1.0,0.0,-0.1344,0.0176,0.0392,-0.0632,-0.0096,-0.0048,0.0272,0.0528,0.0112,-0.008,-0.0368,2.6933504621525057,6.142924448120544,5.1709761433652135,3.4621724566627665,6.157160477938258
1.0,1.0,1.0,-0.1,-0.0248,0.0032,-0.1056,0.0288,-0.0064,0.0504,0.004,-0.032,0.0336,0.0168,-0.0056,4.5481510886353504,2.1058150197414136,8.03161265907044,5.768736218683216,6.263695663169334
1.0,1.0,1.0,-0.0056,-0.0168,0.0224,-0.0192,-0.0624,0.0112,0.0008,-0.0152,-0.0016,0.0016,-0.0024,-0.0104,3.415851750351811,4.61724550008425,3.4657995089358757,4.933132649513889,7.32582332799311
1.0,1.0,1.0,-0.1072,-0.0848,0.048,-0.0376,-0.0368,0.0248,0.0272,0.0104,-0.0248,0.0496,-0.0256,-0.0272,3.8142868643268004,3.1927166890260557,3.8423797030365483,5.639704637242289,6.2208418455689465
1.0,1.0,1.0,-0.0424,-0.2592,0.0296,0.0272,-0.0336,-0.0032,0.0128,0.0792,0.0056,0.0168,-0.0048,0.0088,2.258646308982877,5.2720425531706745,5.856931202178986,4.409914563761733,4.674053874667158
1.0,1.0,1.0,-0.0776,-0.4008,0.0368,-0.0216,0.08,0.02,0.0192,0.024,0.0096,0.0216,-0.0112,-0.0344,1.6902348545133443,5.062924123409719,5.430950741337671,5.072389738651001,1.7016658285042987
1.0,1.0,1.0,-0.1264,-0.2848,0.0704,0.0032,-0.0024,-0.0248,-0.0096,-0.2952,-0.0056,-0.0136,0.24,0.012,0.7792793648178962,4.253830307454992,3.4044275963960535,6.320244646812675,4.2025846571565415
1.0,1.0,1.0,0.1192,-0.1776,-0.1208,-0.0128,-0.1672,-0.0072,0.0264,0.08,0.0168,-0.0264,0.0296,-0.0176,2.0260479929470403,2.7211197605674013,5.4330183215490635,-0.7212380770237434,5.804920608590798
1.0,1.0,1.0,-0.0216,-0.0528,0.0888,-0.0384,-0.0248,0.0216,-0.0072,-0.1296,0.0168,0.012,-0.6928,0.0056,0.20517711938562222,4.414853119974107,6.083962007541094,5.511900894559858,7.69589215905814
1.0,1.0,1.0,-0.0528,-0.064,-0.0224,0.0,-0.0112,0.0432,0.0112,0.0056,0.0136,-0.0064,0.0208,-0.008,4.204501495780484,7.143954234518068,6.132859996102691,2.558675994694703,5.4385544971628725
1.0,1.0,1.0,-0.1016,0.0776,-0.0192,-0.0152,0.0072,-0.0064,-0.1144,-0.0144,-0.012,-0.06,0.012,-0.0144,4.639284601543758,1.4907485087716645,-0.09147365902333515,2.69787843445593,4.035773543169517
1.0,1.0,1.0,-0.0392,-0.0848,0.0472,0.0152,-0.1312,0.0008,-0.0024,0.0144,-0.028,-0.008,0.004,-0.036,2.292905457826395,5.370977940380259,3.396741487347741,4.790800681247591,6.813629564842339
1.0,1.0,1.0,-0.1584,-0.4584,0.2456,-0.0056,-0.124,0.0112,-0.0376,-0.172,0.0048,0.0152,0.4888,0.0416,-0.05721040636819552,2.3547934009303786,6.996102091532597,3.6482669717741896,4.988303213251182
1.0,1.0,1.0,-0.3752,-0.1528,0.08,0.0184,0.0368,0.0152,-0.04,0.0,-0.0128,0.0928,-0.0224,0.0064,4.29892434069023,1.3689118424303,5.932244310095974,7.97224449843227,3.3033841603616043
1.0,1.0,1.0,-0.0696,-0.4304,0.036,0.0192,-0.3384,-0.0648,-0.0256,0.5544,-0.0104,0.0152,-0.2472,-0.048,0.5286554572456725,3.2165638331187734,5.477212700499594,2.0135737470465247,5.332777310944918
1.0,1.0,1.0,-0.2632,-0.0736,0.0728,-0.112,0.0832,-0.0608,0.1448,-0.0752,0.0152,-0.0304,0.0248,-0.0232,1.7924010012517355,1.536205543143179,8.406514511624744,5.137999469618091,5.364921596845582
1.0,1.0,1.0,-0.1992,-0.0704,0.0296,-0.0032,0.0048,0.0128,-0.0384,0.0096,-0.0144,0.032,0.0008,-0.02,4.178515861095049,1.7742630622768771,3.995707144710615,7.4003119264832335,4.783139820668148
1.0,1.0,1.0,-0.1592,-0.1904,0.0408,0.024,-0.0296,0.0248,0.0344,0.0232,0.0208,0.0048,0.0024,0.0168,2.7202487015726136,3.611951251944789,7.348731585458388,4.812228922309667,4.179626478668365
1.0,1.0,1.0,-0.0872,-0.1064,0.0896,-0.024,0.028,-0.0168,0.0168,-0.0072,0.0096,-0.0088,0.0264,-0.0288,4.781424980968829,3.9431082828651034,4.9423410917181325,5.271868825065377,5.916257398584674
1.0,1.0,1.0,-0.308,-0.0648,0.0528,-0.4968,-0.0384,0.0216,0.272,0.0088,0.0088,0.0032,0.0056,0.0056,4.811658822045406,-0.9656351223005539,3.617507132566214,3.835011758595959,2.137857328280379
1.0,1.0,1.0,-0.256,-0.1768,0.468,-0.6064,-0.2224,0.1984,0.444,0.1176,0.1072,0.168,0.0304,0.0304,1.5563025504136063,0.39130114661679194,4.19471122022246,5.045319813964637,6.524683725755036
