0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,-0.091,0.206,-0.039,-0.067,-0.617,0.06,0.048,-0.215,-0.009,-0.036,0.068,-0.03,0.03,-0.169,-0.023,0.19394403444265063,3.3329814415375445,3.155455957094233,4.843106290125328,2.3751290279267043
1.0,1.0,1.0,0.011,0.057,0.054,-0.022,0.052,-0.022,-0.005,0.166,0.057,-0.033,-0.131,0.024,-0.028,-0.085,-0.027,1.1421487439558557,4.532095215966392,7.005156935872103,7.558429628169762,11.31930507581212
1.0,1.0,1.0,-0.331,0.314,-0.223,-0.03,0.035,-0.077,-0.001,0.732,0.005,-0.028,0.237,0.007,0.034,-0.456,-0.01,-0.8738989260533612,2.234069918747293,0.9462155927682714,6.319738526465211,5.1616842972227674
1.0,1.0,1.0,-0.379,0.245,-0.094,0.095,-0.083,-0.028,-0.018,-0.083,-0.005,0.027,-0.043,0.01,-0.026,0.01,-0.022,2.4114008855175846,3.0174163735974804,2.5022437861890254,8.025906383967373,1.2441864694577425
1.0,1.0,1.0,-0.296,0.055,-0.029,0.014,-0.034,-0.056,0.021,0.027,0.046,-0.042,0.017,0.029,-0.002,-0.062,0.004,3.978106498342867,2.8484171732265446,1.755770240097688,7.8748174575698044,4.658942005604081
1.0,1.0,1.0,-0.251,0.067,0.006,-0.032,-0.047,-0.027,-0.29,-0.012,-0.026,-0.042,0.016,-0.02,0.259,0.012,-0.031,5.068767611512172,0.6519823004404279,2.0193037620850935,3.8579871775485364,4.735462115310266
1.0,1.0,1.0,-0.049,0.582,-0.021,-0.033,-0.262,0.029,-0.001,-0.723,0.018,-0.048,-0.491,0.043,-0.026,0.01,-0.014,-1.0111648531055915,4.700669231798431,2.2235279089512328,4.751633520929945,1.4871866580724005
1.0,1.0,1.0,0.041,-0.153,0.01,0.005,0.0,-0.023,-0.02,-0.011,0.021,0.05,-0.007,0.019,-0.029,-0.028,0.031,5.320990252219526,7.519847366443387,6.105986892057456,3.0682575531421037,3.378700944907758
1.0,1.0,1.0,0.031,-0.139,-0.024,-0.019,-0.044,0.079,0.01,-0.105,0.005,-0.154,0.061,0.003,-0.012,-0.026,0.02,2.2649346549967904,1.6100605276066688,4.1253594815863694,2.3820174670981564,5.033507890692354
1.0,1.0,1.0,-0.041,-0.193,0.262,-0.074,-0.722,0.06,0.036,0.342,0.032,-0.009,0.417,-0.014,0.031,-0.384,-0.039,0.43920932097250054,3.834061172982644,5.428705282669947,4.578204878037149,8.83259584306232
1.0,1.0,1.0,-0.087,-0.385,0.054,-0.03,-0.014,-0.024,0.012,0.009,0.011,0.002,0.082,-0.018,0.006,-0.023,-0.019,1.7059350225857668,5.905183882329403,6.048782430529293,6.257503962357041,4.904822687304237
1.0,1.0,1.0,0.009,-0.049,0.03,0.001,-0.006,0.015,0.006,-0.01,-0.034,-0.019,0.004,0.009,-0.035,0.025,0.0,2.8296772786287976,7.503096780552106,2.922030544652356,4.77943101767723,8.94869462283976
1.0,1.0,1.0,0.607,-0.619,-0.582,0.132,0.147,0.215,-0.06,0.11,-0.07,-0.012,-0.109,-0.001,0.168,0.066,-0.004,0.8011011819838574,0.6212915818319589,7.103361444604822,-0.769860462368424,4.101423632811163
1.0,1.0,1.0,-0.251,0.019,0.02,-0.043,0.095,-0.014,0.037,-0.018,-0.011,0.003,-0.06,0.023,0.019,0.007,0.026,2.234776247984539,2.5630713111369756,1.8197145286983871,5.459693466716991,6.231792978421692
1.0,1.0,1.0,-0.157,-0.19,0.051,0.026,0.036,0.04,-0.087,-0.043,-0.01,0.008,0.07,-0.04,-0.028,0.008,0.022,2.668051333330304,2.253758136640876,4.19305549592403,3.526326660134979,5.356862966121473
1.0,1.0,1.0,-0.411,-0.022,0.027,0.068,0.01,-0.032,0.015,-0.029,0.034,-0.013,0.005,-0.01,0.015,0.026,0.031,4.546535503659625,2.321621745255879,4.191092756913736,7.098218603593143,3.8728446648331394
1.0,1.0,1.0,-0.236,-0.042,0.1,-0.081,0.042,0.007,-0.317,-0.034,0.027,-0.102,0.01,-0.014,0.431,-0.005,0.008,3.425291557726813,0.42876591450758816,9.543684381141885,3.7655784060249267,7.799043014397373
1.0,1.0,1.0,0.129,-0.293,-0.08,0.005,-0.026,0.003,-0.007,0.023,0.002,0.025,0.017,0.02,0.035,-0.039,-0.016,2.4645082851174163,4.448505744756114,8.070771190051438,-0.06224711645785508,5.798278058742778
1.0,1.0,1.0,0.137,-0.22,-0.021,-0.14,0.059,-0.005,-0.009,0.006,0.031,-0.022,0.003,0.017,-0.014,-0.019,-0.001,4.2850558749510705,2.797597989905218,8.386426598219014,2.7798903484441158,2.3100275714008625
1.0,1.0,1.0,-0.138,-0.213,0.107,-0.047,0.012,-0.015,0.001,-0.145,-0.032,-0.031,0.049,0.024,0.012,0.061,-0.037,1.601369791344758,3.55983589069467,3.8808100343222627,5.038204569055383,7.240402448787372
1.0,1.0,1.0,-0.019,0.116,0.001,0.001,-0.156,0.003,0.013,0.002,-0.037,-0.006,-0.058,0.022,-0.007,0.048,-0.025,2.4351097184401302,6.678590511126606,2.8542383744101496,3.6768521621309658,2.602539892502526
1.0,1.0,1.0,-0.093,-0.176,-0.005,0.024,-0.036,0.018,-0.03,-0.006,-0.002,-0.014,-0.012,0.004,-0.027,0.012,-0.031,3.698088808733132,6.369216077575032,4.593985588856287,5.866095997604943,4.134834114287274
1.0,1.0,1.0,-0.229,0.155,-0.092,0.001,0.003,0.022,-0.032,0.018,-0.006,0.025,0.011,-0.042,0.001,-0.015,0.02,2.9700676729099325,2.9793898441776885,0.26112427581122155,5.299762979886455,5.072595741781993
1.0,1.0,1.0,-0.271,-0.288,0.105,0.068,0.095,0.051,0.022,-0.006,-0.014,-0.023,-0.032,-0.037,-0.004,-0.011,-0.057,3.4657750294213447,3.6142002004262452,8.373246166271993,7.0459882705412635,3.3489668519904074
1.0,1.0,1.0,-0.107,0.085,-0.016,-0.014,-0.034,0.016,-0.017,0.024,0.031,-0.006,-0.006,-0.054,0.022,-0.007,-0.003,5.093538668497958,3.8740187559518278,1.7220754559236848,5.453028959326481,3.554774797199225
1.0,1.0,1.0,-0.031,0.014,-0.021,-0.044,-0.026,0.016,-0.006,0.008,0.054,-0.006,0.033,0.009,-0.005,-0.007,0.0,5.242291587594837,4.034715690321753,3.864291061781387,4.5136829752426255,1.6976011800475157
1.0,1.0,1.0,-0.134,-0.17,0.098,-0.022,0.02,-0.014,-0.045,0.0,-0.051,0.028,0.009,-0.043,0.028,0.009,0.027,4.455532334383315,3.5006453257225023,7.957949775732585,10.994736876430462,4.0747220648732725
1.0,1.0,1.0,-0.192,-0.085,0.039,-0.012,0.014,-0.006,0.042,0.016,-0.006,-0.019,0.012,-0.025,-0.007,0.024,0.023,6.928491691709324,3.379974745440634,5.905218177216739,5.869657686586033,6.362592337441863
1.0,1.0,1.0,-0.482,0.097,-0.067,0.172,0.029,0.011,0.024,0.018,0.01,-0.098,0.023,-0.021,0.079,-0.032,-0.045,5.275955536237854,1.541932886450323,0.3390071638976728,7.866603192322788,3.5621458267843185
1.0,1.0,1.0,-0.176,0.068,0.0,0.032,-0.01,0.0,0.006,-0.016,-0.008,0.032,0.009,0.005,-0.04,-0.018,0.032,4.117532386294633,3.326438006566735,2.6154904529607608,5.667209105714149,3.5692284518738084
1.0,1.0,1.0,-0.398,-0.094,0.116,-0.09,0.018,-0.044,0.34,-0.032,0.01,-0.198,-0.011,0.057,0.01,-0.011,0.019,2.974296847360351,1.1134581481728698,3.4581183810979725,7.358320266357803,5.8466824557543315
1.0,1.0,1.0,-0.154,-0.223,0.109,-0.005,-0.094,-0.015,-0.012,0.057,-0.025,0.026,-0.008,-0.004,-0.012,-0.036,0.03,2.5350986872863386,3.360346864339944,7.486488089852289,5.059459918030421,6.34780304260774
1.0,1.0,1.0,-0.265,-0.042,0.041,-0.08,0.036,-0.01,-0.017,-0.002,-0.059,0.067,-0.009,0.012,0.012,0.015,0.017,4.171525507437259,1.6440777873925734,2.665941744905925,5.316630757847112,6.139748254933548
1.0,1.0,1.0,-0.024,-0.187,0.031,-0.004,0.006,0.046,0.009,-0.166,-0.019,-0.004,0.022,-0.024,-0.001,0.028,-0.011,1.6795132796157635,3.2733679430019205,3.9691999157207456,2.607237109829589,5.3954028645978
1.0,1.0,1.0,-0.303,0.042,-0.035,0.102,-0.086,-0.014,0.006,0.005,0.007,-0.017,0.008,-0.005,0.002,0.009,0.001,4.457550429753954,3.52797567062068,3.4760585481859834,7.945136441289103,2.2274243480089253
1.0,1.0,1.0,-0.215,-0.377,0.54,-0.103,-0.654,0.109,-0.051,0.607,-0.074,-0.013,0.079,-0.096,0.115,-0.202,0.007,-0.5449660838661661,1.3075712120298002,5.264819272518022,4.184184920691125,7.767741025365698
1.0,1.0,1.0,-0.292,-0.174,0.054,-0.137,-0.001,-0.034,-0.092,-0.023,-0.009,0.037,-0.005,-0.016,0.201,0.011,0.032,4.092955990902115,0.8286532157491866,6.212904867892221,4.457773021979811,3.860943389551478
1.0,1.0,1.0,-0.233,-0.227,0.116,-0.023,-0.124,0.081,-0.074,-0.354,0.12,0.08,-0.174,-0.014,0.034,0.61,0.012,0.24553442921902047,1.8326287641732995,3.7952764851024448,4.7105127690611415,4.52997508061991
1.0,1.0,1.0,-0.03,-0.228,0.004,0.038,0.046,0.216,-0.103,-0.471,0.094,-0.233,0.085,-0.048,0.018,0.123,0.019,0.6022804450664601,1.18453084253033,3.7959385192994537,2.629440917724851,5.3058395654755754
1.0,1.0,1.0,-0.03,-0.018,-0.038,-0.287,-0.041,0.042,0.007,-0.001,-0.014,-0.068,0.058,0.006,0.011,0.004,-0.027,6.849978317105032,1.3714164414807357,4.311302580958047,3.851277366648037,2.724397814426667
1.0,1.0,1.0,-0.145,-0.02,0.059,-0.09,-0.082,0.04,-0.019,0.007,0.022,-0.069,-0.008,-0.011,0.055,0.001,0.042,8.618804742354836,1.5650467776628751,6.0625646299753475,7.729132547899995,8.64831558949539
1.0,1.0,1.0,-0.204,-0.433,0.101,-0.037,-0.068,0.005,0.04,0.201,0.001,0.008,-0.117,0.029,0.01,0.004,0.008,0.9670468556450644,3.5717168639570795,6.246889828678207,6.522638931417099,1.9967571096429322
1.0,1.0,1.0,-0.236,-0.277,0.289,-0.121,-0.172,0.055,0.042,0.103,0.009,-0.022,-0.03,0.036,0.009,-0.047,0.006,1.7717809156715263,2.0585861732082575,5.700055507972275,8.135512753390639,7.040859920769259
1.0,1.0,1.0,0.013,-0.285,-0.03,-0.02,-0.022,-0.074,0.008,0.065,-0.001,-0.019,-0.029,-0.008,0.004,0.007,-0.025,2.6037664044528928,4.332082844087525,7.846590772300445,2.4674179794318274,5.436082203745284
1.0,1.0,1.0,-0.03,-0.357,0.009,-0.009,-0.008,0.009,-0.066,0.083,0.005,0.024,-0.009,0.023,-0.001,0.022,0.001,2.2915520187472107,7.838742412358276,6.720898653890867,10.420059084000231,5.093209430243238
1.0,1.0,1.0,-0.161,-0.203,0.036,-0.333,0.0,-0.037,-0.004,0.022,0.044,-0.133,0.001,0.002,0.217,-0.011,-0.054,4.41669980423903,0.6174440674453008,8.294381074320743,4.032658995866314,3.201794719500617
1.0,1.0,1.0,-0.101,0.04,-0.001,-0.022,0.126,-0.03,0.039,0.052,-0.029,0.017,-0.026,-0.007,-0.013,0.009,0.064,2.466193528841732,4.077779013385715,0.9754285845797108,5.8466992061575995,6.8504706310116985
1.0,1.0,1.0,-0.26,0.028,-0.012,-0.021,-0.04,-0.015,0.024,-0.006,-0.018,0.012,-0.02,-0.018,0.045,0.025,-0.002,5.13729802687847,3.7958520202142245,2.1305454252162983,7.423643101723276,4.3461111934908
1.0,1.0,1.0,-0.061,-0.055,0.038,0.002,0.038,0.026,0.027,-0.027,-0.004,-0.008,-0.017,-0.021,-0.001,0.033,-0.024,4.113080092090943,5.584139118437495,3.2230718290693865,4.689675038157474,6.258166617462782
1.0,1.0,1.0,-0.073,-0.122,-0.005,-0.107,-0.035,0.038,-0.033,0.004,0.023,-0.021,0.002,0.009,0.019,0.012,0.053,3.0197475531773974,2.4465519271854967,4.519646272812231,3.6750796131860963,3.552492715091426
1.0,1.0,1.0,-0.114,-0.078,0.046,-0.049,-0.002,0.009,-0.004,-0.059,0.001,0.016,-0.02,0.026,-0.023,-0.003,0.022,2.4252811060419748,5.4146113417616775,3.4441220135535957,6.881276973039943,4.639584072738384
1.0,1.0,1.0,-0.223,-0.654,0.241,-0.006,0.064,0.064,0.028,-0.109,-0.007,-0.011,0.657,-0.01,-0.002,-0.985,0.007,-1.698056159936904,3.8092632086631757,9.84817709821086,8.333436279731423,4.181179735801141
1.0,1.0,1.0,-0.048,-0.034,0.032,-0.005,-0.004,0.039,-0.075,-0.003,-0.048,-0.09,0.009,0.005,0.008,0.019,0.029,3.2133986274175985,1.8966716837868838,2.8922934658608215,2.989031695201539,4.961198542587529
1.0,1.0,1.0,-0.059,-0.106,0.349,-0.036,-0.261,-0.003,-0.066,-0.08,0.048,-0.086,-0.536,0.072,0.046,0.335,0.029,0.2862757835993559,1.457532823624868,7.366377119035156,2.9926273890357966,9.32059198716577
1.0,1.0,1.0,-0.26,-0.199,0.281,-0.25,-0.064,0.034,0.183,-0.108,0.003,0.002,0.072,-0.02,0.082,0.046,0.008,1.5066493129680991,0.9400519018637126,4.333830213005543,5.228581339841109,7.015874260896087
1.0,1.0,1.0,-0.229,-0.385,0.102,0.021,-0.32,-0.029,-0.027,0.062,0.041,0.021,0.119,0.014,-0.036,0.635,-0.029,-0.7696805340966884,3.6647257392051547,4.858714294197702,6.088495806428504,3.2546942548969486
1.0,1.0,1.0,0.112,-0.032,-0.032,-0.612,-0.05,0.054,-0.086,0.037,0.007,-0.21,0.01,0.018,-0.311,0.016,-0.051,4.2566248109244516,-0.12568070383346708,3.9544998549733688,3.22281806282293,2.815692012076108
1.0,1.0,1.0,-0.575,-0.057,0.032,-0.095,-0.153,0.028,-0.005,-0.005,0.074,0.449,-0.042,-0.101,-0.436,0.06,-0.032,1.5485915732635864,-0.5004027084842284,3.765666530984681,5.69097938021002,3.2882750999349506
1.0,1.0,1.0,-0.004,-0.026,0.12,0.108,-0.087,-0.003,-0.012,0.011,-0.027,-0.19,-0.01,-0.002,0.003,-0.008,0.033,3.182480941505887,1.2669474874465567,3.467826019884805,7.971151331109649,9.846582724305105
