0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.0024,-0.668,0.0096,-0.0432,0.056,0.0032,-0.7209949814514571,3.51803205852851,5.488812871757837,6.545803166285818,6.931441517882283
1.0,1.0,1.0,-0.0484,-0.3012,0.0536,0.0012,-0.052,0.0044,0.5836937127812019,2.9642776397305863,5.953506578931211,4.281028082119441,5.53133883894659
1.0,1.0,1.0,0.0312,-0.058,-0.3292,-0.2732,-0.2864,0.0948,0.6255940644610498,0.7319556500018582,6.331761272151189,1.6728966069359927,4.299818331666897
1.0,1.0,1.0,-0.0976,-0.0144,0.004,-0.0412,0.002,-0.0048,6.192047056924932,1.4710200170582843,4.258918265998275,6.102536577510586,7.022286820585579
1.0,1.0,1.0,0.022,-0.0436,0.016,-0.0044,0.0052,-0.024,3.908845455078595,6.975859158834233,4.559952137289699,5.7784700180101405,8.751522992955657
1.0,1.0,1.0,0.0916,0.002,-0.0296,-0.0064,0.0124,-0.0052,1.397155872835171,2.3496950269563057,6.967312777796832,8.940320375012583,6.0535217435669795
1.0,1.0,1.0,-0.0008,-0.024,-0.0248,0.0096,0.0072,0.0168,4.091750656484132,2.26700832730657,5.4791852085622565,3.0599997927457725,6.161378517843484
1.0,1.0,1.0,0.1516,-0.0004,-0.0072,-0.0904,0.0072,0.0144,5.11279151367841,1.1472011090982697,3.237993589923385,7.086353870547816,2.8019028197465436
1.0,1.0,1.0,0.1612,0.0168,0.0164,0.0012,0.0012,0.0008,6.545019498204018,1.8941849129479946,6.793221561153093,7.173556534707399,7.788401571995182
1.0,1.0,1.0,0.0032,-0.0012,0.0012,0.0036,0.0348,-0.0088,2.3675042039718,5.366370782743645,8.4488289286607,5.037773586693701,4.124240538421204
1.0,1.0,1.0,0.0256,-0.0692,-0.0036,-0.0108,-0.04,0.0052,1.8990915468572551,5.907199508715456,6.045937351001326,2.5641949689000985,4.775268187356572
1.0,1.0,1.0,0.0668,0.0232,-0.01,-0.1724,-0.0052,0.0296,4.293879787294976,0.6403279390108314,6.998083974446835,6.820678078498024,6.728849585133819
1.0,1.0,1.0,0.0312,0.016,-0.0016,0.0052,-0.006,-0.0408,6.329026281508618,4.228715643224792,0.806288188696537,0.6688614127794272,6.439084906942246
1.0,1.0,1.0,-0.0212,0.0164,-0.0304,-0.0044,-0.0052,-0.0176,3.7574494848378044,2.5131955637681846,2.5624719516431487,7.066350539541032,5.4424174741256035
1.0,1.0,1.0,-0.0068,-0.0068,0.0048,-0.0096,0.0152,-0.0104,6.896139483659327,5.325940964194948,7.237842231034927,1.6125561950800118,8.253602921449762
1.0,1.0,1.0,-0.02,0.0384,-0.0064,0.0088,-0.034,0.0076,2.288819259982024,5.151681488038642,7.033306267851497,7.09989800829052,3.1142378784923075
1.0,1.0,1.0,-0.0624,-0.0236,0.0044,-0.0272,0.0108,0.022,2.6473641379818544,2.2962825074696114,6.695045147870199,6.019146621716378,5.036852954574686
1.0,1.0,1.0,0.0356,0.026,0.004,0.0068,-0.0052,-0.0032,8.797666484274504,3.5591270776719113,5.174285255661944,6.765314661788738,7.599422864080058
1.0,1.0,1.0,-0.026,-0.0092,0.0128,0.0116,-0.0012,0.0288,4.70308991809825,4.298452147785169,4.227250507715827,6.371376656287599,4.739806378836545
