0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.324,0.236,0.02,0.026,-0.198,0.064,-0.068,-0.204,0.02,-0.01,-0.03,0.008,-0.026,0.016,0.054,0.046,0.004,0.01,0.006,-0.014,0.012,0.038,-0.038,0.004,-0.008,-0.028,0.052,-0.028,0.02,0.016,3.63582719462661,4.651968674131808,5.7156743529726555,4.198296521680434,2.4217705069031177
1.0,1.0,1.0,0.244,0.24,0.036,-0.102,-0.08,-0.002,-0.08,-0.022,-0.022,-0.064,0.014,-0.018,-0.062,0.004,0.018,0.024,0.044,-0.004,-0.08,0.014,-0.07,-0.022,0.028,0.018,-0.034,0.028,-0.018,-0.048,0.028,-0.012,6.446091883781996,4.567135078895651,3.374366037955509,4.80644761664381,4.49735876483596
1.0,1.0,1.0,0.42,0.288,0.128,-0.082,0.004,-0.018,-0.196,-0.044,0.044,-0.092,-0.02,-0.04,0.016,-0.004,0.008,-0.052,0.022,0.066,-0.048,-0.022,-0.062,-0.01,0.028,-0.018,0.008,0.078,0.026,0.098,0.014,-0.016,5.4294658191594865,2.507856985644452,2.6616349990261527,3.7276698157946893,3.580247692039653
1.0,1.0,1.0,-0.17,-0.062,0.06,-0.02,0.096,-0.024,-0.078,-0.154,0.04,0.052,0.014,-0.006,0.034,0.008,-0.018,-0.058,-0.036,0.002,0.016,0.028,0.044,-0.026,-0.026,0.0,0.0,0.068,-0.02,0.028,0.006,-0.042,3.7589305088125182,5.598236125936306,6.395795890421262,8.171677081458164,11.723105597372319
1.0,1.0,1.0,0.048,0.256,0.044,-0.194,-0.134,0.104,-0.008,0.034,0.046,-0.096,0.08,0.02,-0.05,-0.064,-0.01,0.028,-0.098,0.042,0.084,-0.038,-0.034,0.004,-0.012,0.0,-0.018,0.032,-0.006,-0.034,0.03,-0.06,2.4588719096638023,3.44455873647808,3.4210542502238797,5.703399593512494,6.920064621246084
1.0,1.0,1.0,0.054,-0.024,-0.038,-0.07,0.008,-0.002,-0.066,-0.024,0.026,-0.008,-0.018,0.022,0.002,0.01,-0.02,0.026,0.022,0.036,-0.046,-0.028,0.01,0.008,0.0,0.008,0.04,-0.002,-0.05,0.008,-0.014,-0.022,9.294721966019413,6.092219635820402,7.421143401795828,6.61538550111184,6.264750595657715
1.0,1.0,1.0,0.43,0.004,0.022,-0.086,-0.304,0.038,-0.208,-0.008,-0.024,-0.178,0.124,-0.07,0.014,0.002,0.0,-0.026,0.042,-0.036,-0.02,-0.024,-0.02,-0.028,-0.006,0.022,-0.04,0.004,0.036,0.056,-0.008,0.012,3.0602730761570855,1.8188377495493153,7.6088870412647935,3.785974214999258,3.702531256320233
1.0,1.0,1.0,0.056,0.16,0.052,-0.052,-0.134,0.026,-0.048,0.048,-0.064,0.016,-0.042,-0.002,-0.044,-0.01,0.054,0.03,0.036,0.062,0.008,-0.002,0.002,-0.028,-0.016,-0.032,0.016,0.05,-0.014,0.048,0.018,-0.034,2.9939498899185892,8.264518666336386,5.4791718418153055,5.147099605023622,7.390004277561326
1.0,1.0,1.0,0.152,0.224,0.056,-0.066,-0.048,0.022,-0.028,0.002,-0.002,0.022,-0.038,-0.008,0.0,-0.002,0.034,0.004,-0.022,0.026,0.05,0.042,0.044,-0.07,-0.01,-0.04,0.03,-0.032,0.006,-0.058,-0.01,-0.036,6.0536838934208,8.36081326778511,3.6430679494680254,1.4278473346528413,6.245863694583647
1.0,1.0,1.0,0.168,0.214,-0.042,-0.08,0.002,0.066,0.024,-0.062,-0.018,0.002,0.066,-0.004,-0.036,-0.016,0.0,0.018,0.002,0.08,-0.008,0.046,-0.002,-0.016,0.01,0.054,0.07,0.032,0.002,-0.034,0.002,-0.048,6.448956715961501,5.859396930219601,2.386729243402779,3.289902727432752,6.725524233248933
