0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,decay_0,decay_1,W_0,W_1,J_0
1.0,1.0,1.0,0.214,0.28,0.042,-0.184,-0.114,0.002,-0.106,-0.148,0.026,0.058,-0.048,0.026,0.012,-0.056,0.008,-0.024,0.044,0.008,-0.026,0.066,-0.04,0.002,0.086,0.04,0.002,0.012,0.01,-0.012,0.006,0.074,3.8827864297722896,4.426269565456227,4.354799889149733,6.304490361563576,2.0816604572153348
1.0,1.0,1.0,0.062,0.1,0.006,-0.212,-0.02,-0.016,-0.032,-0.04,-0.004,0.068,0.0,-0.004,0.038,-0.006,-0.028,-0.002,0.02,-0.01,-0.03,-0.024,-0.038,0.004,-0.02,-0.008,0.016,-0.032,0.06,-0.016,0.01,-0.002,7.5393276070814785,4.739923777698279,4.483298082155947,7.062692590938305,3.4693246733150165
1.0,1.0,1.0,0.214,0.242,0.108,0.072,-0.186,0.03,0.072,-0.096,0.044,0.028,-0.058,0.046,0.044,-0.136,-0.056,0.036,-0.046,-0.038,0.012,0.004,-0.004,0.016,-0.008,0.028,-0.01,-0.052,0.006,-0.014,0.018,0.012,2.126618062154225,5.4348846235958295,4.593143123958742,2.7969847329737645,5.96611776922753
1.0,1.0,1.0,-0.11,0.18,0.01,-0.2,-0.042,0.026,-0.006,-0.018,0.008,-0.154,0.016,-0.002,0.118,-0.018,0.02,0.096,-0.004,0.024,-0.096,-0.02,0.016,0.024,0.024,-0.004,0.054,0.022,0.0,-0.028,0.0,0.004,4.496351303108681,2.1981431802274076,3.8811094099471664,7.526801471478111,6.970126484990637
1.0,1.0,1.0,0.222,0.194,0.012,-0.144,-0.09,-0.038,-0.07,-0.028,-0.002,0.044,-0.042,0.002,-0.024,-0.008,-0.02,-0.004,-0.01,-0.038,0.106,-0.05,-0.016,0.02,-0.032,0.0,-0.024,0.018,0.002,0.004,-0.022,-0.038,6.809471071016276,3.7619129281266095,4.357831258119088,5.334235999476248,5.256744994001774
1.0,1.0,1.0,0.244,0.08,-0.016,-0.186,-0.06,0.018,-0.244,0.018,0.026,-0.056,0.012,0.024,0.036,-0.07,-0.018,0.034,0.0,-0.014,-0.024,0.006,-0.026,0.038,0.008,-0.042,0.006,-0.034,0.036,0.0,-0.056,-0.04,8.342213121260054,3.474778433397659,6.218064536664445,4.842920908282754,3.781661844344412
1.0,1.0,1.0,0.202,0.216,0.07,-0.016,-0.012,-0.032,-0.058,-0.006,0.004,0.006,-0.024,0.018,-0.03,-0.006,0.016,0.006,0.046,-0.06,-0.002,0.054,-0.004,0.012,0.018,0.006,0.002,-0.104,0.006,0.01,0.032,-0.018,6.363175359213885,6.210914584871901,4.363653846086191,4.377960272249798,2.0471107516479474
1.0,1.0,1.0,0.468,-0.018,0.042,-0.228,-0.178,0.07,-0.152,0.042,-0.022,0.088,-0.014,-0.006,-0.16,0.034,-0.05,-0.648,0.012,-0.008,-0.422,0.062,-0.048,0.16,-0.038,-0.026,0.332,-0.052,-0.04,0.084,-0.05,-0.066,4.937447571963865,0.3887663900863192,6.945808805124485,3.581832500252804,5.849587144277291
1.0,1.0,1.0,0.358,0.362,0.136,-0.152,-0.3,0.068,-0.216,-0.386,0.134,-0.038,-0.14,0.03,0.04,0.112,-0.02,0.024,0.06,-0.02,0.026,0.0,0.03,0.046,0.082,0.012,0.034,-0.03,-0.008,0.066,0.02,0.002,1.6598272716706184,2.6686291968467897,5.447574487426954,5.001476774545459,2.501469877319043
1.0,1.0,1.0,0.43,0.07,-0.012,-0.356,-0.408,0.232,-0.458,-0.048,0.078,-0.114,0.132,-0.162,-0.036,0.002,0.062,-0.25,0.03,-0.028,-0.184,0.064,-0.024,0.338,-0.024,0.042,0.524,-0.018,-0.022,0.23,-0.008,-0.05,2.118881569821572,0.41666787052661114,7.183306569651116,4.750299814784355,4.0868122568904655
1.0,1.0,1.0,0.326,0.064,0.022,-0.054,-0.102,0.024,-0.086,-0.014,-0.008,0.054,-0.018,-0.02,-0.06,0.048,-0.008,-0.01,0.022,0.048,-0.02,0.01,0.038,-0.02,-0.01,-0.03,-0.02,0.018,0.006,-0.004,-0.006,0.014,6.936864749389651,3.4305841069277645,5.072574690559025,3.442815951913065,4.851985309486322
1.0,1.0,1.0,0.09,0.042,0.024,-0.028,-0.048,0.02,-0.034,0.004,0.002,0.002,0.018,0.048,0.07,-0.026,-0.044,-0.006,-0.036,0.05,0.022,0.046,-0.02,0.01,0.038,-0.008,0.026,-0.028,0.01,-0.01,-0.01,0.008,8.628298623151096,7.80489937708554,5.390422547485166,5.576267887989947,6.039076978997429
1.0,1.0,1.0,0.092,0.112,-0.036,0.016,-0.264,0.06,0.008,-0.058,0.066,-0.01,-0.074,-0.032,0.044,-0.034,-0.022,0.04,-0.044,0.004,0.04,0.052,-0.024,0.018,0.04,-0.022,-0.004,0.01,0.046,-0.012,-0.018,0.03,2.4679997567390797,8.2218081696728,5.629417805547854,4.61516831689495,5.659240338682944
1.0,1.0,1.0,0.338,0.16,0.042,-0.002,-0.142,0.0,-0.054,-0.036,-0.01,-0.012,0.032,0.068,-0.054,0.052,0.026,0.032,0.034,0.034,-0.004,-0.016,-0.004,0.046,0.036,-0.026,0.016,-0.03,0.002,0.016,-0.008,0.036,5.462201306368521,5.5762674611180305,7.289451587888811,4.36253652818001,1.969687745058068
1.0,1.0,1.0,0.242,0.43,0.128,-0.094,0.004,0.042,-0.134,-0.112,-0.006,-0.058,-0.096,-0.018,0.024,0.0,0.028,0.052,-0.01,0.014,0.026,-0.016,0.01,-0.02,-0.01,0.018,-0.028,-0.024,-0.004,-0.02,-0.016,-0.012,3.6297485982379003,4.1590550429072985,4.353758151343106,5.8945760308664426,1.3147590203152149
1.0,1.0,1.0,0.118,0.088,0.018,-0.126,-0.028,-0.014,0.022,0.034,0.0,-0.028,0.01,0.042,0.004,0.04,0.008,-0.038,-0.028,0.03,-0.008,-0.028,0.016,-0.052,0.048,0.008,-0.026,-0.014,0.032,0.004,0.034,0.018,7.934416092345032,4.377231643020262,4.249216223898504,4.86107566859844,6.348001248986054
